Pokemon,No.,Caught?,Diamond,Pearl,Platinum,HeartGold,SoulSilver,Pal Park,Pokéwalker
Ponyta,#0077,False,"Routes 206, 210, 211, 214, and 215","Routes 206, 210, 211, 214, and 215","Routes 206, 207, and 210","Routes 22, 26, 27, and 28, Mt. Silver Safari Zone (Plains with 5 Peak points)","Routes 22, 26, 27, and 28, Mt. Silver Safari Zone (Plains with 5 Peak points)",Field,Rugged Road and Volcano Path
Rapidash,#0078,False,Evolve Ponyta,Evolve Ponyta,Evolve Ponyta,"Route 28, Mt. Silver","Route 28, Mt. Silver",Field,
Slowpoke,#0079,False,Trade,Route 205 (Poké Radar),Route 205 (Poké Radar),"Slowpoke Well and Tohjo Falls (surfing) Safari Zone (tall grass in Rocky Beach, default)","Slowpoke Well and Tohjo Falls (surfing) Safari Zone (tall grass in Rocky Beach, default)",Pond,Beautiful Beach
Slowbro,#0080,False,Trade,Evolve Slowpoke,Evolve Slowpoke,"Slowpoke Well and Seafoam Islands Safari Zone (Peak with 5 Waterside points; tall grass in Rocky Beach - default, with 3 Peak points, and with 5 Waterside points)","Slowpoke Well and Seafoam Islands Safari Zone (Peak with 5 Waterside points; tall grass in Rocky Beach - default, with 3 Peak points, and with 5 Waterside points)",Pond,
Magnemite,#0081,False,Fuego Ironworks (Swarm),Fuego Ironworks (Swarm),"Route 222, Fuego Ironworks","Routes 6, 11, 38, and 39 Safari Zone (Peak, default; Wasteland, default)","Routes 6, 11, 38, and 39 Safari Zone (Peak, default; Wasteland, default)",Mountain,Suburban Area
Magneton,#0082,False,Evolve Magnemite,Evolve Magnemite,"Route 222, Victory Road","Cerulean Cave Safari Zone (Peak, default; Mountain, default and 3 Plains points) Trade Dugtrio in Power Plant","Cerulean Cave Safari Zone (Peak, default; Mountain, default and 3 Plains points) Trade Dugtrio in Power Plant",Mountain,
Farfetch'd,#0083,False,Route 221 (Swarm),Route 221 (Swarm),Route 221 (Swarm),"Routes 38, 39, 47, and 48 Morning Day Safari Zone (tall grass in Wetland, default Morning Day and with 3 Forest points)","Routes 38, 39, 47, and 48 Morning Day Safari Zone (tall grass in Wetland, default Morning Day and with 3 Forest points)",Field,
Doduo,#0084,False,Route 201 (Swarm),Route 201 (Swarm),Route 201 (Swarm),"Routes 22, 26, 27, and 28, Mt. Silver Morning Day Safari Zone (tall grass in Rocky Beach, default Morning Day; tall grass in Wetland with 4 Peak points)","Routes 22, 26, 27, and 28, Mt. Silver Morning Day Safari Zone (tall grass in Rocky Beach, default Morning Day; tall grass in Wetland with 4 Peak points)",Field,Refreshing Field
Dodrio,#0085,False,Evolve Doduo,Evolve Doduo,Evolve Doduo,"Routes 26 and 28, Mt. Silver Safari Zone (tall grass in Rocky Beach with 10 Plains points) Trade Dragonair♀ in Blackthorn City","Routes 27 and 28, Mt. Silver Safari Zone (tall grass in Rocky Beach with 10 Plains points) Trade Dragonair♀ in Blackthorn City",Field,
Seel,#0086,False,Routes 226 and 230,Trade,Breed Dewgong,"Route 47, Whirl Islands, Seafoam Islands","Route 47, Whirl Islands, Seafoam Islands",Sea,Stormy Beach
Dewgong,#0087,False,Routes 226 and 230 (Surfing),Trade,Victory Road,Seafoam Islands,Seafoam Islands,Sea,
Grimer,#0088,False,Route 212 (Poké Radar),Route 212 (Poké Radar),Route 212 (Poké Radar),"Routes 16, 17, and 18 Celadon City (Surfing) Safari Zone (tall grass in Marshland, default Morning Day; Surfing in Marshland, default)","Routes 16, 17, and 18 Celadon City (Surfing) Safari Zone (tall grass in Marshland, default Morning Day; Surfing in Marshland, default)",Field,Town Outskirts
Muk,#0089,False,Evolve Grimer,Evolve Grimer,Evolve Grimer,"Routes 16, 17, and 18 Celadon City (Surfing) Safari Zone (tall grass in Marshland with 8 Waterside points; Surfing in Marshland with 16 Waterside points)","Routes 16, 17, and 18 Celadon City (Surfing) Safari Zone (tall grass in Marshland with 8 Waterside points; Surfing in Marshland with 16 Waterside points)",Field,
Shellder,#0090,False,"Route 205 (Floaroma Town side), Valley Windworks, Fuego Ironworks (Super Rod)","Route 205 (Floaroma Town side), Valley Windworks, Fuego Ironworks (Super Rod)","Route 205 (Floaroma Town side), Valley Windworks, Fuego Ironworks (Super Rod)","Routes 20, 21, 26, 27, 41, 47, Vermilion City, Cinnabar Island, Pallet Town, New Bark Town (Good Rod and Super Rod)","Routes 20, 21, 26, 27, 41, 47, Vermilion City, Cinnabar Island, Pallet Town, New Bark Town (Good Rod and Super Rod)",Sea,"Blue Lake, Stormy Beach"
Cloyster,#0091,False,Evolve Shellder,Evolve Shellder,Evolve Shellder,Evolve Shellder,Evolve Shellder,Sea,
Gastly,#0092,False,"Old Chateau, Lost Tower Route 209 Night","Old Chateau, Lost Tower Route 209 Night","Old Chateau, Eterna Forest, Lost Tower, Turnback Cave","Bell Tower, Sprout Tower Safari Zone Night (Forest, default)","Bell Tower, Sprout Tower Safari Zone Night (Forest, default)",Forest,"Dim Cave, Scary Cave"
Haunter,#0093,False,Turnback Cave Trade Medicham in Snowpoint City* Old Chateau (Any Gen I I I game),Turnback Cave Trade Medicham in Snowpoint City* Old Chateau (Any Gen I I I game),Turnback Cave Trade Medicham in Snowpoint City*,"Route 8 Safari Zone Night (Forest, default)","Route 8 Safari Zone Night (Forest, default)",Forest,White Lake
Gengar,#0094,False,Old Chateau (Any Gen I I I game),Old Chateau (Any Gen I I I game),Old Chateau (Any Gen I I I game),Evolve Haunter,Evolve Haunter,Forest,
Onix,#0095,False,"Iron Island, Snowpoint Temple, Oreburgh Mine, Victory Road, Stark Mountain","Iron Island, Snowpoint Temple, Oreburgh Mine, Victory Road, Stark Mountain","Iron Island, Oreburgh Mine, Victory Road, Wayward Cave","Union Cave, Mt. Silver Cave, Cliff Cave, Victory Road, Rock Tunnel Safari Zone (Wasteland, default) Trade Bellsprout in Violet City","Union Cave, Mt. Silver Cave, Cliff Cave, Victory Road, Rock Tunnel Safari Zone (Wasteland, default) Trade Bellsprout in Violet City",Mountain,"Rugged Road, Dim Cave, and Night Sky's Edge"
Drowzee,#0096,False,Route 215 (Swarm),Route 215 (Swarm),Route 215 (Swarm),"Routes 11, 34, and 35 Safari Zone Night (tall grass in Swamp, default)","Routes 11, 34, and 35 Safari Zone Night (tall grass in Swamp, default)",Forest,
Hypno,#0097,False,Evolve Drowzee,Evolve Drowzee,Evolve Drowzee,"Route 11 Safari Zone Night (tall grass in Swamp, default, and with 5 Forest points)","Route 11 Safari Zone Night (tall grass in Swamp, default, and with 5 Forest points)",Forest,
Krabby,#0098,False,Route 226 (Swarm),Route 226 (Swarm),Route 226 (Swarm),"Routes 34 and 40, Cherrygrove City, Olivine City, Union Cave B2 F (fishing) Route 19, Cianwood City (Rock Smash and fishing) Whirl Islands (walking and fishing) Seafoam Islands B4 F (Old Rod and Good Rod) Cliff Cave (walking and Rock Smash) Safari Zone (Mountain with 3 Waterside points; tall grass and Good Rod in Rocky Beach, default; Old Rod in Rocky Beach - default, with 2 Waterside points, and with 3 Waterside points)","Routes 34 and 40, Cherrygrove City, Olivine City, Union Cave B2 F (fishing) Route 19, Cianwood City (Rock Smash and fishing) Whirl Islands (walking and fishing) Seafoam Islands B4 F (Old Rod and Good Rod) Cliff Cave (walking and Rock Smash) Safari Zone (Mountain with 3 Waterside points; tall grass and Good Rod in Rocky Beach, default; Old Rod in Rocky Beach - default, with 2 Waterside points, and with 3 Waterside points)",Sea,Blue Lake
Kingler,#0099,False,Evolve Krabby,Evolve Krabby,Evolve Krabby,"Cherrygrove City, Olivine City, Cianwood City, Union Cave B2 F, Whirl Islands 1 F/ B1 F/ B2 F, Seafoam Islands B4 F, Routes 34 and 40 (Super Rod) Cliff Cave (walking and Rock Smash) Route 19 (Super Rod and Rock Smash) Safari Zone (Super Rod in Rocky Beach - default, tall grass with 8 Peak points, Good Rod with 5 Waterside points, and with 8 Waterside points; Wasteland with 10 Waterside points)","Cherrygrove City, Olivine City, Cianwood City, Union Cave B2 F, Whirl Islands 1 F/ B1 F/ B2 F, Seafoam Islands B4 F, Routes 34 and 40 (Super Rod) Cliff Cave (walking and Rock Smash) Route 19 (Super Rod and Rock Smash) Safari Zone (Super Rod in Rocky Beach - default, tall grass with 8 Peak points, Good Rod with 5 Waterside points, and with 8 Waterside points; Wasteland with 10 Waterside points)",Sea,
Voltorb,#0100,False,Route 218 (Swarm),Route 218 (Swarm),Route 218 (Swarm),Route 10Trade Krabby in Olivine City Safari Zone (tall grass in Swamp with 10 Peak points) Team Rocket H Q (Six),Route 10Trade Krabby in Olivine City Safari Zone (tall grass in Swamp with 10 Peak points) Team Rocket H Q (Six),Field,Town Outskirts
Electrode,#0101,False,Evolve Voltorb,Evolve Voltorb,Evolve Voltorb,Team Rocket H Q (Three) Cerulean Cave,Team Rocket H Q (Three) Cerulean Cave,Field,
Exeggcute,#0102,False,Great Marsh (after obtaining National Pokédex),Great Marsh (after obtaining National Pokédex),Great Marsh (after obtaining National Pokédex),"Routes 26, 27, 29, 30, 31, 32, 34, 35, 36, 37, 38, 39, 43, 47, and 48, New Bark Town, Cherrygrove City, Violet City, Ecruteak City, National Park, Lake of Rage, Safari Zone Gate (Headbutt trees)","Routes 26, 27, 29, 30, 31, 32, 34, 35, 36, 37, 38, 39, 43, 47, and 48, New Bark Town, Cherrygrove City, Violet City, Ecruteak City, National Park, Lake of Rage, Safari Zone Gate (Headbutt trees)",Forest,Big Forest
Exeggutor,#0103,False,Evolve Exeggcute,Evolve Exeggcute,Evolve Exeggcute,Evolve Exeggcute,Evolve Exeggcute,Forest,
Cubone,#0104,False,Route 203 (Swarm),Route 203 (Swarm),Route 203 (Swarm),"Rock Tunnel Safari Zone Morning Day (Desert, default)","Rock Tunnel Safari Zone Morning Day (Desert, default)",Mountain,
Marowak,#0105,False,Evolve Cubone,Evolve Cubone,Evolve Cubone,"Rock Tunnel Safari Zone Morning Day (Desert, default and with 6 Peak points)","Rock Tunnel Safari Zone Morning Day (Desert, default and with 6 Peak points)",Mountain,Scary Cave
Hitmonlee,#0106,False,Evolve Tyrogue,Evolve Tyrogue,Evolve Tyrogue,Evolve Tyrogue,Evolve Tyrogue,Mountain,
Hitmonchan,#0107,False,Evolve Tyrogue,Evolve Tyrogue,Evolve Tyrogue,Evolve Tyrogue,Evolve Tyrogue,Mountain,
Lickitung,#0108,False,Lake Valor (Swarm),Lake Valor (Swarm),Route 215,"Route 44 Safari Zone (Forest with 3 Waterside points; Mountain, default Morning Day)","Route 44 Safari Zone (Forest with 3 Waterside points; Mountain, default Morning Day)",Field,
Koffing,#0109,False,Breed Weezing,Breed Weezing,Stark Mountain,"Burned Tower Safari Zone (tall grass in Marshland, default) Team Rocket H Q (Five)","Burned Tower Safari Zone (tall grass in Marshland, default) Team Rocket H Q (Five)",Mountain,Town Outskirts
Weezing,#0110,False,"Route 227, Stark Mountain","Route 227, Stark Mountain","Route 227, Stark Mountain","Safari Zone (tall grass in Marshland, default Morning Day)","Safari Zone (tall grass in Marshland, default Morning Day)",Mountain,
Rhyhorn,#0111,False,"Route 227, Stark Mountain","Route 227, Stark Mountain","Routes 214 and 227, Victory Road, Stark Mountain","Victory Road Safari Zone (Savannah, default Morning Day, and with 5 Peak points) Trade Bonsly with Brock in Diglett's Cave Mo Sa","Victory Road Safari Zone (Savannah, default Morning Day, and with 5 Peak points) Trade Bonsly with Brock in Diglett's Cave Mo Sa",Mountain,Volcano Path
Rhydon,#0112,False,"Routes 227 and 228, Stark Mountain","Routes 227 and 228, Stark Mountain","Routes 227 and 228, Victory Road, Stark Mountain",Safari Zone,Safari Zone,Mountain,
Chansey,#0113,False,"Routes 209 and 210, Trophy Garden","Routes 209 and 210, Trophy Garden","Routes 209 and 210, Trophy Garden","Routes 13, 14, and 15 Safari Zone (tall grass in Meadow with 12 Plains points)","Routes 13, 14, and 15 Safari Zone (tall grass in Meadow with 12 Plains points)",Field,
Tangela,#0114,False,"Trade, breed event Tangrowth","Trade, breed event Tangrowth",Great Marsh,"Routes 21, 28, and 44, Mt. Silver Routes 12, 13, 14, 15, 18, 21, Fuchsia City (Headbutt trees)","Routes 21, 28, and 44, Mt. Silver Routes 12, 13, 14, 15, 18, 21, Fuchsia City (Headbutt trees)",Forest,Big Forest
Kangaskhan,#0115,False,Great Marsh (after obtaining National Pokédex),Great Marsh (after obtaining National Pokédex),Great Marsh (after obtaining National Pokédex),"Rock Tunnel Safari Zone Morning Day (Wasteland, default)","Rock Tunnel Safari Zone Morning Day (Wasteland, default)",Field,Refreshing Field
Horsea,#0116,False,Route 226 (Good Rod),Route 226 (Good Rod),Route 226 (Good Rod),"Whirl Islands, Seafoam Islands (Good Rod or Super Rod)","Whirl Islands, Seafoam Islands (Good Rod or Super Rod)",Sea,"Warm Beach, Beyond the Sea, and Winner's Path"
Seadra,#0117,False,Route 226 (Super Rod),Route 226 (Super Rod),Route 226 (Super Rod),"Seafoam Islands (Super Rod), Whirl Islands (Surfing and Super Rod)","Seafoam Islands (Super Rod), Whirl Islands (Surfing and Super Rod)",Sea,
Goldeen,#0118,False,"Routes 203, 204, 209, 212, and 214, Lake Acuity, Lake Verity, Twinleaf Town, Lake Valor, Resort Area, Sendoff Spring (Good Rod)","Routes 203, 204, 209, 212, and 214, Lake Acuity, Lake Verity, Twinleaf Town, Lake Valor, Resort Area, Sendoff Spring (Good Rod)","Routes 203, 204, 208, 209, 212, 214, and 229, Lake Acuity, Celestic Town, Lake Verity, Twinleaf Town, Lake Valor, Sendoff Spring (Good Rod)","Routes 4, 9, 10, 24, 25, 42, Slowpoke Well, Union Cave, Mt. Mortar, Mt. Silver Cave, Dark Cave, Cerulean City, Cerulean Cave, Tohjo Falls Safari Zone (Surfing and Good Rod in Swamp, default; Old Rod in Swamp, default, and with 2 Waterside points; fishing in Rocky Beach, default)","Routes 4, 9, 10, 24, 25, 42, Slowpoke Well, Union Cave, Mt. Mortar, Mt. Silver Cave, Dark Cave, Cerulean City, Cerulean Cave, Tohjo Falls Safari Zone (Surfing and Good Rod in Swamp, default; Old Rod in Swamp, default, and with 2 Waterside points; fishing in Rocky Beach, default)",Pond,"Blue Lake, Warm Beach"
Seaking,#0119,False,"Routes 203, 204, 209, 212, and 214, Lake Acuity, Lake Verity, Twinleaf Town, Lake Valor, Resort Area, Sendoff Spring (Super Rod)","Routes 203, 204, 209, 212, and 214, Lake Acuity, Lake Verity, Twinleaf Town, Lake Valor, Resort Area, Sendoff Spring (Super Rod)","Lake Acuity, Lake Verity, Lake Valor (Good Rod) Routes 203, 204, 208, 209, 212, 214, and 229, Lake Acuity, Lake Verity, Twinleaf Town, Lake Valor, Celestic Town, Sendoff Spring (Super Rod)","Routes 4, 9, 10, 24, 25, and 42, Slowpoke Well, Union Cave, Mt. Mortar, Mt. Silver Cave, Dark Cave, Cerulean City, Tohjo Falls (Surfing and Super Rod) Safari Zone (Surfing in Swamp with 4 Waterside points; Old Rod in Swamp with 3 Waterside points; Good Rod in Swamp, default and with 6 points; Super Rod in Swamp and Rocky Beach, default)","Routes 4, 9, 10, 24, 25, and 42, Slowpoke Well, Union Cave, Mt. Mortar, Mt. Silver Cave, Dark Cave, Cerulean City, Tohjo Falls (Surfing and Super Rod) Safari Zone (Surfing in Swamp with 4 Waterside points; Old Rod in Swamp with 3 Waterside points; Good Rod in Swamp, default and with 6 points; Super Rod in Swamp and Rocky Beach, default)",Pond,
Staryu,#0120,False,"Sunyshore City, Canalave City (Super Rod)","Sunyshore City, Canalave City (Super Rod)","Sunyshore City, Canalave City (Super Rod)","Routes 19, 34, 40, Cherrygrove City, Cianwood City, Union Cave B2 F, Olivine City (Good Rod and Super Rod) Night Route 47 (Surfing)","Routes 19, 34, 40, Cherrygrove City, Cianwood City, Union Cave B2 F, Olivine City (Good Rod and Super Rod) Night Route 47 (Surfing)",Sea,Beautiful Beach and Beyond the Sea
Starmie,#0121,False,Evolve Staryu,Evolve Staryu,Evolve Staryu,Evolve Staryu,Evolve Staryu,Sea,
Mr. Mime,#0122,False,Routes 218 and 222,Evolve Mime Jr.,Route 218,"Route 21, Celadon Game Corner Safari Zone (Forest, default Morning Day, and with 3 Plains points)","Route 21, Celadon Game Corner Safari Zone (Forest, default Morning Day, and with 3 Plains points)",Field,
Scyther,#0123,False,Route 229,Trade,Routes 210 and 215,National Park (Bug- Catching Contest) Tu Th Sa,National Park (Bug- Catching Contest) Tu Th Sa,Field,
Jynx,#0124,False,Evolve Smoochum,Evolve Smoochum,Snowpoint Temple,Seafoam Islands and Ice Path,Seafoam Islands and Ice Path,Field,
Electabuzz,#0125,False,Evolve Elekid,Evolve Elekid,Route 222,Route 10Safari Zone (Forest with 4 Peak points),Route 10Safari Zone (Forest with 4 Peak points),Mountain,
Magmar,#0126,False,Evolve Magby,Evolve Magby,Fuego Ironworks,"Burned Tower Safari Zone Morning Day (Peak, default and 10 Peak points)","Burned Tower Safari Zone Morning Day (Peak, default and 10 Peak points)",Mountain,
Pinsir,#0127,False,Trade,Route 229,Route 229 (Swarm),National Park (Bug- Catching Contest) Tu Th Sa,National Park (Bug- Catching Contest) Tu Th Sa,Forest,
Tauros,#0128,False,Routes 209 and 210 (Poké Radar),Routes 209 and 210 (Poké Radar),Route 210 (Poké Radar),"Routes 38, 39, and 48 Safari Zone (Savannah, default Morning Day, and with 5 Plains points)","Routes 38, 39, and 48 Safari Zone (Savannah, default Morning Day, and with 5 Plains points)",Field,Scary Cave
Magikarp,#0129,False,"Routes 203, 204, 205, 208, 209, 210, 212, 213, 214, 218, 219, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, and 230, Twinleaf Town, Eterna City, Canalave City, Celestic Town, Pastoria City, Sunyshore City, Lake Verity, Lake Acuity, Lake Valor, Ravaged Path, Valley Windworks, Mt. Coronet, Iron Island, Great Marsh, Sendoff Spring, Pokémon League, Victory Road, Fuego Ironworks, Oreburgh Gate, Resort Area (Old Rod or Good Rod) Trade Finneon on Route 226 (German)","Routes 203, 204, 205, 208, 209, 210, 212, 213, 214, 218, 219, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, and 230, Twinleaf Town, Eterna City, Canalave City, Celestic Town, Pastoria City, Sunyshore City, Lake Verity, Lake Acuity, Lake Valor, Ravaged Path, Valley Windworks, Mt. Coronet, Iron Island, Great Marsh, Sendoff Spring, Pokémon League, Victory Road, Fuego Ironworks, Oreburgh Gate, Resort Area (Old Rod or Good Rod) Trade Finneon on Route 226 (German)","Routes 203, 204, 205, 208, 209, 210, 212, 213, 214, 218, 219, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, 230, Twinleaf Town, Eterna City, Canalave City, Celestic Town, Pastoria City, Sunyshore City, Lake Verity, Lake Acuity, Lake Valor, Ravaged Path, Valley Windworks, Mt. Coronet, Iron Island, Great Marsh, Sendoff Spring, Pokémon League, Victory Road, Fuego Ironworks, Oreburgh Gate (Old Rod or Good Rod) Trade Finneon on Route 226 (German) Resort Area (fishing)","Routes 19, 20, 21, 26, 27, 28, 34, 40, 41, 47, New Bark Town, Cherrygrove City, Olivine City, Cianwood City, Cinnabar Island, Pallet Town, Union Cave 3 F, Whirl Islands 1 F/ B1 F/ B2 F, Mt. Silver Cave 1 F, Cerulean Cave, Seafoam Islands B4 F, Vermilion City (Old Rod or Good Rod) Routes 4, 6, 9, 10, 12, 13, 22, 24, 25, 30, 31, 32, 35, 42, 44, Violet City, Ecruteak City, Viridian City, Cerulean City, Ruins of Alph, Union Cave 1 F/2 F, Slowpoke Well, Cliff Edge Gate, Mt. Mortar, Tohjo Falls, Mt. Silver, Ilex Forest (fishing) Routes 43, 45, Dark Cave, Lake of Rage, Blackthorn City, Fuchsia City, Dragon's Den, Mt. Moon Square (Surfing and fishing) Safari Zone (Surfing, Old Rod and Good Rod in Meadow, Swamp and Rocky Beach - default; Old and Good Rod in Marshland, default; Old Rod in Wetland, default)","Routes 19, 20, 21, 26, 27, 28, 34, 40, 41, 47, New Bark Town, Cherrygrove City, Olivine City, Cianwood City, Cinnabar Island, Pallet Town, Union Cave 3 F, Whirl Islands 1 F/ B1 F/ B2 F, Mt. Silver Cave 1 F, Cerulean Cave, Seafoam Islands B4 F, Vermilion City (Old Rod or Good Rod) Routes 4, 6, 9, 10, 12, 13, 22, 24, 25, 30, 31, 32, 35, 42, 44, Violet City, Ecruteak City, Viridian City, Cerulean City, Ruins of Alph, Union Cave 1 F/2 F, Slowpoke Well, Cliff Edge Gate, Mt. Mortar, Tohjo Falls, Mt. Silver, Ilex Forest (fishing) Routes 43, 45, Dark Cave, Lake of Rage, Blackthorn City, Fuchsia City, Dragon's Den, Mt. Moon Square (Surfing and fishing) Safari Zone (Surfing, Old Rod and Good Rod in Meadow, Swamp and Rocky Beach - default; Old and Good Rod in Marshland, default; Old Rod in Wetland, default)",Pond,"Warm Beach, Stormy Beach, Winner's Path"
Gyarados,#0130,False,"Great Marsh (Good Rod or Super Rod) Routes 203, 204, 205, 208, 209, 210, 212, 213, 214, 218, 219, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, and 230, Twinleaf Town, Eterna City, Canalave City, Celestic Town, Pastoria City, Sunyshore City, Lake Verity, Lake Acuity, Lake Valor, Ravaged Path, Valley Windworks, Mt. Coronet, Iron Island, Sendoff Spring, Pokémon League, Victory Road, Fuego Ironworks, Oreburgh Gate, Resort Area (Super Rod)","Great Marsh (Good Rod or Super Rod) Routes 203, 204, 205, 208, 209, 210, 212, 213, 214, 218, 219, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, and 230, Twinleaf Town, Eterna City, Canalave City, Celestic Town, Pastoria City, Sunyshore City, Lake Verity, Lake Acuity, Lake Valor, Ravaged Path, Valley Windworks, Mt. Coronet, Iron Island, Sendoff Spring, Pokémon League, Victory Road, Fuego Ironworks, Oreburgh Gate, Resort Area (Super Rod)","Routes 203, 204, 205, 208, 209, 210, 212, 213, 214, 218, 219, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, and 230, Twinleaf Town, Eterna City, Canalave City, Celestic Town, Pastoria City, Great Marsh, Sunyshore City, Lake Verity, Lake Acuity, Lake Valor, Ravaged Path, Valley Windworks, Mt. Coronet, Iron Island, Sendoff Spring, Pokémon League, Victory Road, Fuego Ironworks, Oreburgh Gate (Super Rod)","Lake of Rage (Surfing, Good Rod, Super Rod, Red Gyarados*) Mt. Silver Cave 1 F, Cerulean Cave, Seafoam Islands B4 F (Super Rod) Fuchsia City (Good Rod or Super Rod) Safari Zone (Good Rod in Meadow with 7 Waterside points; Super Rod in Meadow with 10 Waterside points, and with 14 Waterside points; Good Rod in Marshland with 3 Waterside points, and with 4 Waterside points; Super Rod in Marshland, default; Super Rod in Wetland with 6 Waterside points, and with 9 Waterside points)","Lake of Rage (Surfing, Good Rod, Super Rod, Red Gyarados*) Mt. Silver Cave 1 F, Cerulean Cave, Seafoam Islands B4 F (Super Rod) Fuchsia City (Good Rod or Super Rod) Safari Zone (Good Rod in Meadow with 7 Waterside points; Super Rod in Meadow with 10 Waterside points, and with 14 Waterside points; Good Rod in Marshland with 3 Waterside points, and with 4 Waterside points; Super Rod in Marshland, default; Super Rod in Wetland with 6 Waterside points, and with 9 Waterside points)",Pond,
Lapras,#0131,False,Victory Road (Surfing),Victory Road (Surfing),Victory Road (Surfing),"Union Cave (Weekly) Fr Safari Zone (Surfing in Rocky Beach - default, with 10 Waterside points, with 14 Waterside points, and with 18 Waterside points)","Union Cave (Weekly) Fr Safari Zone (Surfing in Rocky Beach - default, with 10 Waterside points, with 14 Waterside points, and with 18 Waterside points)",Sea,
Ditto,#0132,False,Route 218 (Poké Radar),Route 218 (Poké Radar),Trophy Garden*,"Routes 34, 35, and 47, Cerulean Cave Safari Zone (tall grass in Wetland, default Morning Day, and with 15 Waterside points) Route 47 (Swarm)","Routes 34, 35, and 47, Cerulean Cave Safari Zone (tall grass in Wetland, default Morning Day, and with 15 Waterside points) Route 47 (Swarm)",Field,
Eevee,#0133,False,Received from Bebe in Hearthome City* Trophy Garden*,Received from Bebe in Hearthome City* Trophy Garden*,Received from Bebe in Hearthome City Trophy Garden*,Received from Bill in Goldenrod City Celadon Game Corner,Received from Bill in Goldenrod City Celadon Game Corner,Field,Sightseeing
Vaporeon,#0134,False,Evolve Eevee,Evolve Eevee,Evolve Eevee,Evolve Eevee,Evolve Eevee,Field,
Jolteon,#0135,False,Evolve Eevee,Evolve Eevee,Evolve Eevee,Evolve Eevee,Evolve Eevee,Field,
Flareon,#0136,False,Evolve Eevee,Evolve Eevee,Evolve Eevee,Evolve Eevee,Evolve Eevee,Field,
Porygon,#0137,False,Trophy Garden,Trophy Garden,Received from a person in Veilstone City,Celadon Game Corner,Celadon Game Corner,Field,
Omanyte,#0138,False,Revive from Helix Fossil at the Oreburgh Mining Museum in Oreburgh City,Revive from Helix Fossil at the Oreburgh Mining Museum in Oreburgh City,Revive from Helix Fossil at the Oreburgh Mining Museum in Oreburgh City,Revive from Helix Fossil at the Pewter Museum of Science in Pewter City,Trade Receive Helix Fossil held by a traded Pokémon and revive it,Sea,
Omastar,#0139,False,Evolve Omanyte,Evolve Omanyte,Evolve Omanyte,Evolve Omanyte,Trade,Sea,
Kabuto,#0140,False,Revive from Dome Fossil at the Oreburgh Mining Museum in Oreburgh City,Revive from Dome Fossil at the Oreburgh Mining Museum in Oreburgh City,Revive from Dome Fossil at the Oreburgh Mining Museum in Oreburgh City,Trade Receive Dome Fossil held by a traded Pokémon and revive it,Revive from Dome Fossil at the Pewter Museum of Science in Pewter City,Sea,
Kabutops,#0141,False,Evolve Kabuto,Evolve Kabuto,Evolve Kabuto,Trade,Evolve Kabuto,Sea,
Aerodactyl,#0142,False,Revive from Old Amber at the Oreburgh Mining Museum in Oreburgh City,Revive from Old Amber at the Oreburgh Mining Museum in Oreburgh City,Revive from Old Amber at the Oreburgh Mining Museum in Oreburgh City,Revive from Old Amber at the Pewter Museum of Science in Pewter City,Revive from Old Amber at the Pewter Museum of Science in Pewter City,Mountain,
Snorlax,#0143,False,Evolve Munchlax,Evolve Munchlax,Evolve Munchlax,Route 11 or 12* (Only one),Route 11 or 12* (Only one),Field,
Articuno,#0144,False,Trade,Trade,Roaming Sinnoh (Only one),Seafoam Islands (Only one),Seafoam Islands (Only one),Mountain,
Zapdos,#0145,False,Trade,Trade,Roaming Sinnoh (Only one),Route 10* (Only one),Route 10* (Only one),Mountain,
Moltres,#0146,False,Trade,Trade,Roaming Sinnoh (Only one),Mt. Silver Cave (Only one),Mt. Silver Cave (Only one),Mountain,
Dratini,#0147,False,Mt. Coronet (Super Rod),Mt. Coronet (Super Rod),Mt. Coronet (Super Rod),"Dragon's Den (Surfing, Good Rod, and Super Rod) Safari Zone (Good Rod in Swamp with 10 Waterside points; Super Rod in Swamp, default) Goldenrod Game Corner Received from Master in Dragon's Den after completing Master's quiz*","Dragon's Den (Surfing, Good Rod, and Super Rod) Safari Zone (Good Rod in Swamp with 10 Waterside points; Super Rod in Swamp, default) Goldenrod Game Corner Received from Master in Dragon's Den after completing Master's quiz*",Pond,Blue Lake
Dragonair,#0148,False,Mt. Coronet (Super Rod),Mt. Coronet (Super Rod),Mt. Coronet (Super Rod),"Dragon's Den (Super Rod) Safari Zone (Super Rod in Swamp with 15 Waterside points, and with 20 Waterside points)","Dragon's Den (Super Rod) Safari Zone (Super Rod in Swamp with 15 Waterside points, and with 20 Waterside points)",Pond,
Dragonite,#0149,False,Evolve Dragonair,Evolve Dragonair,Evolve Dragonair,Evolve Dragonair,Evolve Dragonair,Mountain,
Mewtwo,#0150,False,Trade,Trade,Trade,Cerulean Cave (Only one),Cerulean Cave (Only one),Field,
Mew,#0151,False,My Pokémon Ranch Event,My Pokémon Ranch Event,My Pokémon Ranch* Event,Event,Event,Forest,
