Pokemon,No.,Caught?,Sword,Shield,Expansion Pass,Brilliant Diamond,Shining Pearl,Legends: Arceus,Sword Expansion Pass,Shield Expansion Pass
Electabuzz,#0125,False,Trade Version 1.3.0+,Trade Version 1.3.0+,"Giant's Bed, Old Cemetery, Giant's Foot, Frigid Sea, Three- Point Pass, Ballimere Lake Giant's Bed, Giant's Foot, Ballimere Lake (Wanderer) Frostpoint Field, Giant's Bed, Three- Point Pass, Frigid Sea, Ballimere Lake (Max Raid Battle) Max Lair (Dynamax Adventure)",Evolve Elekid,Trade,"Coronet Highlands: Cloudcap Pass, massive mass outbreaks Alabaster Icelands: Icebound Falls, Arena's Approach, Space-time distortions",,
Magmar,#0126,False,Trade Version 1.3.0+,Trade Version 1.3.0+,"Slippery Slope, Frostpoint Field, Giant's Bed, Old Cemetery, Snowslide Slope, Giant's Foot, Three- Point Pass, Ballimere Lake Slippery Slope, Frostpoint Field, Giant's Bed, Snowslide Slope, Giant's Foot, Ballimere Lake (Wanderer) Giant's Bed, Snowslide Slope, Ballimere Lake (Max Raid Battle) Max Lair (Dynamax Adventure)",Trade,Evolve Magby,"Cobalt Coastlands: Firespit Island, massive mass outbreaks Coronet Highlands: Space-time distortions",,
Pinsir,#0127,False,Trade Version 1.2.0+,Trade Version 1.2.0+,,Trade,"Route 229 Grand Underground - Grassland Cave, Riverbank Cave, Still- Water Cavern, Sunlit Cavern*, Big Bluff Cavern",Unobtainable,"Training Lowlands Challenge Road, Training Lowlands (Wanderer) Fields of Honor (Max Raid Battle)",
Tauros,#0128,False,Trade Version 1.2.0+,Trade Version 1.2.0+,Training Lowlands Training Lowlands (Wanderer) Max Lair (Dynamax Adventure),"Routes 209 and 210 (Poké Radar) Grand Underground - Spacious Cave, Grassland Cave, Fountainspring Cave, Rocky Cave, Whiteout Cave, Icy Cave, Riverbank Cave, Still- Water Cavern, Sunlit Cavern, Big Bluff Cavern, Glacial Cavern (After obtaining the National Pokédex)","Routes 209 and 210 (Poké Radar) Grand Underground - Spacious Cave, Grassland Cave, Fountainspring Cave, Rocky Cave, Whiteout Cave, Icy Cave, Riverbank Cave, Still- Water Cavern, Sunlit Cavern, Big Bluff Cavern, Glacial Cavern (After obtaining the National Pokédex)",Unobtainable,,
Magikarp,#0129,False,"South Lake Miloch Routes 2, 4, 5, and 6, Axew's Eye, Bridge Field, East Lake Axewell, Motostoke, North Lake Miloch, Slumbering Weald, South Lake Miloch (fishing) West Lake Axewell (Surfing and fishing) Bridge Field, Dusty Bowl, East Lake Axewell, Giant's Cap, Lake of Outrage, West Lake Axewell (Max Raid Battle)","South Lake Miloch Routes 2, 4, 5, and 6, Axew's Eye, Bridge Field, East Lake Axewell, Motostoke, North Lake Miloch, Slumbering Weald, South Lake Miloch (fishing) West Lake Axewell (Surfing and fishing) Bridge Field, Dusty Bowl, East Lake Axewell, Giant's Cap, Lake of Outrage, West Lake Axewell (Max Raid Battle)","Fields of Honor, Courageous Cavern, Soothing Wetlands, Challenge Beach, Forest of Focus, Training Lowlands, Workout Sea, Loop Lagoon, Stepping- Stone Sea, Insular Sea, Honeycalm Island, Honeycalm Sea, Giant's Bed, Snowslide Slope, Giant's Foot, Frigid Sea, Ballimere Lake (fishing) Giant's Bed, Giant's Foot, Roaring- Sea Caves, Ballimere Lake (Surfing)","Routes 203, 204, 205, 208, 209, 210, 212, 213, 214, 218, 219, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, and 230, Twinleaf Town, Eterna City, Canalave City, Celestic Town, Pastoria City, Sunyshore City, Lake Verity, Lake Acuity, Lake Valor, Ravaged Path, Valley Windworks, Mt. Coronet, Iron Island, Great Marsh, Sendoff Spring, Pokémon League, Victory Road, Fuego Ironworks, Oreburgh Gate, Resort Area (Old Rod or Good Rod) Trade Finneon on Route 226 (German)","Routes 203, 204, 205, 208, 209, 210, 212, 213, 214, 218, 219, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, and 230, Twinleaf Town, Eterna City, Canalave City, Celestic Town, Pastoria City, Sunyshore City, Lake Verity, Lake Acuity, Lake Valor, Ravaged Path, Valley Windworks, Mt. Coronet, Iron Island, Great Marsh, Sendoff Spring, Pokémon League, Victory Road, Fuego Ironworks, Oreburgh Gate, Resort Area (Old Rod or Good Rod) Trade Finneon on Route 226 (German)","Obsidian Fieldlands: Worn Bridge (mass outbreaks), near Oreburrow Tunnel , Obsidian Falls, Lake Verity Cobalt Coastlands: massive mass outbreaks Coronet Highlands: near Celestica Trail",,
Gyarados,#0130,False,"Axew's Eye, Bridge Field, Dusty Bowl, Giant's Cap, Giant's Mirror, Giant's Seat, Lake of Outrage (fishing) Route 2 (Surfing) Bridge Field, Dusty Bowl, East Lake Axewell, Lake of Outrage, North Lake Miloch, South Lake Miloch, West Lake Axewell (Surfing Wanderer) Bridge Field, Dusty Bowl, East Lake Axewell, Giant's Cap, Lake of Outrage, South Lake Miloch, West Lake Axewell (Max Raid Battle)","Axew's Eye, Bridge Field, Dusty Bowl, Giant's Cap, Giant's Mirror, Giant's Seat, Lake of Outrage (fishing) Route 2 (Surfing) Bridge Field, Dusty Bowl, East Lake Axewell, Lake of Outrage, North Lake Miloch, South Lake Miloch, West Lake Axewell (Surfing Wanderer) Bridge Field, Dusty Bowl, East Lake Axewell, Giant's Cap, Lake of Outrage, South Lake Miloch, West Lake Axewell (Max Raid Battle)","Giant's Bed, Snowslide Slope, Giant's Foot, Frigid Sea, Ballimere Lake (fishing) Workout Sea, Stepping- Stone Sea, Insular Sea, Honeycalm Island, Honeycalm Sea (Surfing) Challenge Beach, Giant's Bed (Surfing Wanderer) Workout Sea, Loop Lagoon, Honeycalm Sea, Giant's Bed, Giant's Foot, Ballimere Lake, Frigid Sea (Max Raid Battle)","Great Marsh (Good Rod or Super Rod) Routes 203, 204, 205, 208, 209, 210, 212, 213, 214, 218, 219, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, and 230, Twinleaf Town, Eterna City, Canalave City, Celestic Town, Pastoria City, Sunyshore City, Lake Verity, Lake Acuity, Lake Valor, Ravaged Path, Valley Windworks, Mt. Coronet, Iron Island, Sendoff Spring, Pokémon League, Victory Road, Fuego Ironworks, Oreburgh Gate, Resort Area (Super Rod)","Great Marsh (Good Rod or Super Rod) Routes 203, 204, 205, 208, 209, 210, 212, 213, 214, 218, 219, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, and 230, Twinleaf Town, Eterna City, Canalave City, Celestic Town, Pastoria City, Sunyshore City, Lake Verity, Lake Acuity, Lake Valor, Ravaged Path, Valley Windworks, Mt. Coronet, Iron Island, Sendoff Spring, Pokémon League, Victory Road, Fuego Ironworks, Oreburgh Gate, Resort Area (Super Rod)","Obsidian Fieldlands: Obsidian Falls Flying, Lake Verity (additional ) Cobalt Coastlands: Sand's Reach and nearby (additional ), massive mass outbreaks Coronet Highlands: near Primeval Grotto",,
Lapras,#0131,False,"Route 9 (fishing) Route 2 (one), Lake of Outrage, North Lake Miloch, West Lake Axewell (Wanderer) Bridge Field, Dusty Bowl, East Lake Axewell, Giant's Cap, Giant's Mirror, Lake of Outrage, South Lake Miloch, Stony Wilderness, West Lake Axewell (Max Raid Battle) Wild Area News (Gigantamax Factor)","Route 9 (fishing) Route 2 (one), Lake of Outrage, North Lake Miloch, West Lake Axewell (Wanderer) Bridge Field, Dusty Bowl, East Lake Axewell, Giant's Cap, Giant's Mirror, Lake of Outrage, South Lake Miloch, Stony Wilderness, West Lake Axewell (Max Raid Battle) Giant's Seat (Max Raid Battle) (Gigantamax Factor)","Frigid Sea (Surfing) Giant's Bed, Frigid Sea (Max Raid Battle) (Gigantamax Factor)",Victory Road (Surfing),Victory Road (Surfing),Unobtainable,,
Ditto,#0132,False,Lake of Outrage Stony Wilderness (Max Raid Battle),Lake of Outrage Stony Wilderness (Max Raid Battle),Workout Sea Workout Sea (Wanderer) Max Lair (Dynamax Adventure),"Route 218 (Poké Radar) Grand Underground - Dazzling Cave, Stargleam Cavern (After obtaining the National Pokédex)","Route 218 (Poké Radar) Grand Underground - Dazzling Cave, Stargleam Cavern (After obtaining the National Pokédex)",Unobtainable,,
Eevee,#0133,False,"Received from an N P C in the Meetup Spot* (Gigantamax Factor) Route 4 Bridge Field, East Lake Axewell, Motostoke Riverbank, Rolling Fields (Max Raid Battle)","Received from an N P C in the Meetup Spot* (Gigantamax Factor) Route 4 Bridge Field, East Lake Axewell, Motostoke Riverbank, Rolling Fields (Max Raid Battle)","Giant's Bed, Ballimere Lake Frostpoint Field, Giant's Bed (Wanderer) Ballimere Lake (Max Raid Battle)",Received from Bebe in Hearthome City* Trophy Garden*,Received from Bebe in Hearthome City* Trophy Garden*,"Obsidian Fieldlands: Horseshoe Plains, Space-time distortions Crimson Mirelands: Space-time distortions Cobalt Coastlands: near Crossing Slope, Space-time distortions Coronet Highlands: Space-time distortions Alabaster Icelands: Space-time distortions",,
Vaporeon,#0134,False,Lake of Outrage (Wanderer) Giant's Mirror (Max Raid Battles),Lake of Outrage (Wanderer) Giant's Mirror (Max Raid Battles),Giant's Bed (Wanderer) Ballimere Lake (Max Raid Battle) Max Lair (Dynamax Adventure),Evolve Eevee,Evolve Eevee,Cobalt Coastlands: Space-time distortions,,
Jolteon,#0135,False,Lake of Outrage (Wanderer) Giant's Mirror (Max Raid Battle),Lake of Outrage (Wanderer) Giant's Mirror (Max Raid Battle),Giant's Bed (Wanderer) Ballimere Lake (Max Raid Battle) Max Lair (Dynamax Adventure),Evolve Eevee,Evolve Eevee,Coronet Highlands: Space-time distortions,,
Flareon,#0136,False,Lake of Outrage (Wanderer) Giant's Cap (Max Raid Battle),Lake of Outrage (Wanderer) Giant's Cap (Max Raid Battle),Giant's Bed (Wanderer) Ballimere Lake (Max Raid Battle) Max Lair (Dynamax Adventure),Evolve Eevee,Evolve Eevee,Crimson Mirelands Space-time distortions Cobalt Coastlands: Space-time distortions,,
Porygon,#0137,False,Trade Version 1.2.0+,Trade Version 1.2.0+,Received from Hyde in Master Dojo (after defeating Mustard at the Dojo Court) Max Lair (Dynamax Adventure),Trophy Garden,Trophy Garden,Crimson Mirelands: Space-time distortions,,
Omanyte,#0138,False,Trade Version 1.3.0+,Trade Version 1.3.0+,,Revive from Helix Fossil at the Oreburgh Mining Museum in Oreburgh City,Revive from Helix Fossil at the Oreburgh Mining Museum in Oreburgh City,Unobtainable,"Giant's Foot, Roaring- Sea Caves (Surfing) Giant's Bed, Snowslide Slope, Giant's Foot, Ballimere Lake, Frigid Sea (Max Raid Battle)",
Omastar,#0139,False,Trade Version 1.3.0+,Trade Version 1.3.0+,,Evolve Omanyte,Evolve Omanyte,Unobtainable,"Roaring- Sea Caves (Wanderer) Giant's Bed, Snowslide Slope, Giant's Foot, Ballimere Lake, Frigid Sea (Max Raid Battle)",
Kabuto,#0140,False,Trade Version 1.3.0+,Trade Version 1.3.0+,,Revive from Dome Fossil at the Oreburgh Mining Museum in Oreburgh City,Revive from Dome Fossil at the Oreburgh Mining Museum in Oreburgh City,Unobtainable,,"Giant's Foot, Roaring- Sea Caves (Surfing) Giant's Bed, Snowslide Slope, Giant's Foot, Ballimere Lake, Frigid Sea (Max Raid Battle)"
Kabutops,#0141,False,Trade Version 1.3.0+,Trade Version 1.3.0+,,Evolve Kabuto,Evolve Kabuto,Unobtainable,,"Roaring- Sea Caves (Wanderer) Giant's Bed, Snowslide Slope, Giant's Foot, Ballimere Lake, Frigid Sea (Max Raid Battle)"
Aerodactyl,#0142,False,Trade Version 1.3.0+,Trade Version 1.3.0+,"Giant's Bed (Wanderer) Frostpoint Field, Giant's Bed, Snowslide Slope, Frigid Sea, Ballimere Lake, Dyna Tree Hill (Max Raid Battle)",Revive from Old Amber at the Oreburgh Mining Museum in Oreburgh City,Revive from Old Amber at the Oreburgh Mining Museum in Oreburgh City,Unobtainable,,
Snorlax,#0143,False,"Motostoke Riverbank (Wanderer) Bridge Field, East Lake Axewell, Motostoke Riverbank, Rolling Fields, Stony Wilderness (Max Raid Battle) Wild Area News, Event (Gigantamax Factor)","Motostoke Riverbank (Wanderer) Bridge Field, East Lake Axewell, Motostoke Riverbank, Rolling Fields, Stony Wilderness (Max Raid Battle) Wild Area News, Event (Gigantamax Factor)","Slippery Slope, Frostpoint Field, Giant's Bed Sh (Wanderer) Slippery Slope, Giant's Bed, Giant's Foot, Ballimere Lake (Max Raid Battle) (Gigantamax Factor)",Evolve Munchlax,Evolve Munchlax,"Obsidian Fieldlands: near Sandgem Flats , massive mass outbreaks Crimson Mirelands: Space-time distortions Alabaster Icelands: Snowfall Hot Spring",,
Articuno,#0144,False,Trade Version 1.3.0+,Trade Version 1.3.0+,Max Lair (Dynamax Adventure) (Only one) (Kantonian Form) Roaming Crown Tundra (Only one) (Galarian Form),Trade (Kantonian Form) Unobtainable (Galarian Form),Ramanas Park (Kanto Room) (requires Kanto Slate) (Only one) (Kantonian Form) Unobtainable (Galarian Form),Unobtainable,,
Zapdos,#0145,False,Trade Version 1.3.0+,Trade Version 1.3.0+,Max Lair (Dynamax Adventure) (Only one) (Kantonian Form) Roaming Wild Area (Only one) (Galarian Form),Trade (Kantonian Form) Unobtainable (Galarian Form),Ramanas Park (Kanto Room) (requires Kanto Slate) (Only one) (Kantonian Form) Unobtainable (Galarian Form),Unobtainable,,
Moltres,#0146,False,Trade Version 1.3.0+,Trade Version 1.3.0+,Max Lair (Dynamax Adventure) (Only one) (Kantonian Form) Roaming Isle of Armor (Only one) (Galarian Form),Trade (Kantonian Form) Unobtainable (Galarian Form),Ramanas Park (Kanto Room) (requires Kanto Slate) (Only one) (Kantonian Form) Unobtainable (Galarian Form),Unobtainable,,
Dratini,#0147,False,Trade Version 1.3.0+,Trade Version 1.3.0+,"Ballimere Lake (Surfing and fishing) Giant's Bed, Path to the Peak, Frigid Sea, Three- Point Pass, Ballimere Lake (Max Raid Battle)",Mount Coronet (Super Rod) Grand Underground - Fountainspring Cave (After obtaining the National Pokédex),Mount Coronet (Super Rod) Grand Underground - Fountainspring Cave (After obtaining the National Pokédex),Unobtainable,,
Dragonair,#0148,False,Trade Version 1.3.0+,Trade Version 1.3.0+,Ballimere Lake (Wanderer) Max Lair (Dynamax Adventure),Mount Coronet (Super Rod),Mount Coronet (Super Rod),Unobtainable,,
Dragonite,#0149,False,Trade Version 1.3.0+,Trade Version 1.3.0+,"Ballimere Lake (Wanderer) Giant's Bed, Path to the Peak, Frigid Sea, Three- Point Pass, Ballimere Lake (Max Raid Battle)",Evolve Dragonair,Evolve Dragonair,Unobtainable,,
Mewtwo,#0150,False,Trade,Trade,Max Lair (Dynamax Adventure) (Only one),Ramanas Park (requires Genome Slate) (Only one),Ramanas Park (requires Genome Slate) (Only one),Unobtainable,,
Mew,#0151,False,Redeem from Poké Ball Plus,Redeem from Poké Ball Plus,,Floaroma Town (Only one*),Floaroma Town (Only one*),Unobtainable,,
Chikorita,#0152,False,Unobtainable,Unobtainable,,"Grand Underground - Grassland Cave, Sunlit Cavern, Riverbank Cave, Still- Water Cavern (after obtaining the National Pokédex)","Grand Underground - Grassland Cave, Sunlit Cavern, Riverbank Cave, Still- Water Cavern (after obtaining the National Pokédex)",Unobtainable,,
Bayleef,#0153,False,Unobtainable,Unobtainable,,Evolve Chikorita,Evolve Chikorita,Unobtainable,,
Meganium,#0154,False,Unobtainable,Unobtainable,,Evolve Bayleef,Evolve Bayleef,Unobtainable,,
Cyndaquil,#0155,False,Unobtainable,Unobtainable,,"Grand Underground - Sandsear Cave, Typhlo Cavern, Volcanic Cave (after obtaining the National Pokédex)","Grand Underground - Sandsear Cave, Typhlo Cavern, Volcanic Cave (after obtaining the National Pokédex)","Jubilife Village: First partner Pokémon from Professor Laventon, Received from Professor Laventon (after completing Mission 18, if the player did not choose Cyndaquil) Crimson Mirelands: Space-time distortions (after completing Mission 18), massive mass outbreaks after completing Request 102)",,
Quilava,#0156,False,Unobtainable,Unobtainable,,Evolve Cyndaquil,Evolve Cyndaquil,"Crimson Mirelands: Space-time distortions (after completing Mission 18), massive mass outbreaks (after completing Request 102)",,
Typhlosion,#0157,False,Unobtainable,Unobtainable,,Evolve Quilava,Evolve Quilava,"Crimson Mirelands: Space-time distortions (after completing Mission 18), massive mass outbreaks (after completing Request 102) (Hisuian Form) Unobtainable (Johtonian Form)",,
Totodile,#0158,False,Unobtainable,Unobtainable,,"Grand Underground - Fountainspring Cave, Riverbank Cave, Still- Water Cavern (after obtaining the National Pokédex)","Grand Underground - Fountainspring Cave, Riverbank Cave, Still- Water Cavern (after obtaining the National Pokédex)",Unobtainable,,
Croconaw,#0159,False,Unobtainable,Unobtainable,,Evolve Totodile,Evolve Totodile,Unobtainable,,
Feraligatr,#0160,False,Unobtainable,Unobtainable,,Evolve Croconaw,Evolve Croconaw,Unobtainable,,
Sentret,#0161,False,Unobtainable,Unobtainable,,"Route 202 (Poké Radar) Grand Underground - Spacious Cave, Rocky Cave, Volcanic Cave, Whiteout Cave, Big Bluff Cavern, Typhlo Cavern (After obtaining the National Pokédex)","Route 202 (Poké Radar) Grand Underground - Spacious Cave, Rocky Cave, Volcanic Cave, Whiteout Cave, Big Bluff Cavern, Typhlo Cavern (After obtaining the National Pokédex)",Unobtainable,,
Furret,#0162,False,Unobtainable,Unobtainable,,"Grand Underground - Spacious Cave, Rocky Cave, Volcanic Cave, Whiteout Cave, Big Bluff Cavern, Typhlo Cavern (After obtaining the National Pokédex)","Grand Underground - Spacious Cave, Rocky Cave, Volcanic Cave, Whiteout Cave, Big Bluff Cavern, Typhlo Cavern (After obtaining the National Pokédex)",Unobtainable,,
Hoothoot,#0163,False,"Routes 1 and 2, Dappled Grove, Giant's Cap, Slumbering Weald East Lake Axewell, Giant's Cap, Hammerlocke Hills, Rolling Fields (Max Raid Battle)","Routes 1 and 2, Dappled Grove, Giant's Cap, Slumbering Weald East Lake Axewell, Giant's Cap, Hammerlocke Hills, Rolling Fields (Max Raid Battle)",Loop Lagoon (Max Raid Battle),"Routes 210, 211, Great Marsh Night Grand Underground - Spacious Cave, Grassland Cave, Fountainspring Cave, Riverbank Cave, Still- Water Cavern, Sunlit Cavern (After obtaining T M96 (Strength))","Routes 210, 211, Great Marsh Night Grand Underground - Spacious Cave, Grassland Cave, Fountainspring Cave, Riverbank Cave, Still- Water Cavern, Sunlit Cavern (After obtaining T M96 (Strength))",Unobtainable,,
Noctowl,#0164,False,"Bridge Field, Giant's Cap, Motostoke Outskirts, Motostoke Riverbank East Lake Axewell, Giant's Cap, Hammerlocke Hills, Rolling Fields (Max Raid Battle)","Bridge Field, Giant's Cap, Motostoke Outskirts, Motostoke Riverbank East Lake Axewell, Giant's Cap, Hammerlocke Hills, Rolling Fields (Max Raid Battle)",Loop Lagoon (Max Raid Battle) Max Lair (Dynamax Adventure),"Routes 210, 211, 216, and 217, Acuity Lakefront, Lake Acuity, Mt. Coronet, Great Marsh, Lake Valor, Sendoff Spring Night","Routes 210, 211, 216, and 217, Acuity Lakefront, Lake Acuity, Mt. Coronet, Great Marsh, Lake Valor, Sendoff Spring Night",Unobtainable,,
Ledyba,#0165,False,Unobtainable,Unobtainable,,Breed Ledian,Breed Ledian,Unobtainable,,
Ledian,#0166,False,Unobtainable,Unobtainable,,"Route 229 Morning Grand Underground - Grassland Cave, Fountainspring Cave, Swampy Cave, Riverbank Cave, Still- Water Cavern, Sunlit Cavern, Bogsunk Cavern (After obtaining the National Pokédex)","Route 229 Morning Grand Underground - Grassland Cave, Fountainspring Cave, Swampy Cave, Riverbank Cave, Still- Water Cavern, Sunlit Cavern, Bogsunk Cavern (After obtaining the National Pokédex)",Unobtainable,,
Spinarak,#0167,False,Unobtainable,Unobtainable,,Breed Ariados,Breed Ariados,Unobtainable,,
Ariados,#0168,False,Unobtainable,Unobtainable,,"Route 229 Night Grand Underground - Grassland Cave, Swampy Cave, Sunlit Cavern, Bogsunk Cavern (After obtaining the National Pokédex)","Route 229 Night Grand Underground - Grassland Cave, Swampy Cave, Sunlit Cavern, Bogsunk Cavern (After obtaining the National Pokédex)",Unobtainable,,
Crobat,#0169,False,Trade Version 1.3.0+,Trade Version 1.3.0+,"Frostpoint Field, Dyna Tree Hill, Giant's Bed, Frigid Sea, Ballimere Lake (Max Raid Battle)",Evolve Golbat,Evolve Golbat,Obsidian Fieldlands: massive mass outbreaks Coronet Highlands: Wayward Cave Alabaster Icelands: Icebound Falls Flying,,
Chinchou,#0170,False,"Hulbury, Giant's Mirror, East Lake Axewell, West Lake Axewell East Lake Axewell, Giant's Cap, Giant's Mirror, Lake of Outrage, Motostoke Riverbank, North Lake Miloch, South Lake Miloch, West Lake Axewell (Max Raid Battle)","Hulbury, Giant's Mirror, East Lake Axewell, West Lake Axewell East Lake Axewell, Giant's Cap, Giant's Mirror, Lake of Outrage, Motostoke Riverbank, North Lake Miloch, South Lake Miloch, West Lake Axewell (Max Raid Battle)","Workout Sea, Stepping- Stone Sea, Insular Sea, Honeycalm Island, Honeycalm Sea","Route 220 (Super Rod) Grand Underground - Fountainspring Cave, Icy Cave, Glacial Cavern (After obtaining the National Pokédex)","Route 220 (Super Rod) Grand Underground - Fountainspring Cave, Icy Cave, Glacial Cavern (After obtaining the National Pokédex)",Unobtainable,,
Lanturn,#0171,False,"Bridge Field, Dusty Bowl, Lake of Outrage East Lake Axewell (Wanderer) East Lake Axewell, Giant's Cap, Giant's Mirror, Lake of Outrage, Motostoke Riverbank, North Lake Miloch, South Lake Miloch, West Lake Axewell (Max Raid Battle)","Bridge Field, Dusty Bowl, Lake of Outrage East Lake Axewell (Wanderer) East Lake Axewell, Giant's Cap, Giant's Mirror, Lake of Outrage, Motostoke Riverbank, North Lake Miloch, South Lake Miloch, West Lake Axewell (Max Raid Battle)","Workout Sea, Stepping- Stone Sea, Insular Sea, Honeycalm Island, Honeycalm Sea Max Lair (Dynamax Adventure)","Route 220 (Super Rod) Grand Underground - Fountainspring Cave, Icy Cave, Glacial Cavern","Route 220 (Super Rod) Grand Underground - Fountainspring Cave, Icy Cave, Glacial Cavern",Unobtainable,,
Pichu,#0172,False,"Giant's Cap, Hammerlocke Hills, Motostoke Riverbank (Max Raid Battle)","Giant's Cap, Hammerlocke Hills, Motostoke Riverbank (Max Raid Battle)","Forest of Focus (Wanderer) Fields of Honor, Forest of Focus, Challenge Beach, Honeycalm Seas (Max Raid Battle)",Trophy Garden,Trophy Garden,"Obsidian Fieldlands: near Aspiration Hill, Floaro Gardens, Nature's Pantry Day, massive mass outbreaks Crimson Mirelands: near Golden Lowlands",,
Cleffa,#0173,False,"Hammerlocke Hills, Rolling Fields (Max Raid Battle)","Hammerlocke Hills, Rolling Fields (Max Raid Battle)","Fields of Honor, Soothing Wetlands, Forest of Focus, Insular Sea, Frostpoint Field, Giant's Bed, Snowslide Slope, Frigid Sea, Ballimere Lake (Max Raid Battle)","Mount Coronet, Trophy Garden","Mount Coronet, Trophy Garden","Cobalt Coastlands: massive mass outbreaks Coronet Highlands: Fabled Spring Night, massive mass outbreaks",,
Igglybuff,#0174,False,Trade Version 1.2.0+,Trade Version 1.2.0+,Fields of Honor (Max Raid Battle),Trophy Garden,Trophy Garden,Unobtainable,,
Togepi,#0175,False,"Trade Toxel in Hammerlocke Bridge Field Bridge Field, Hammerlocke Hills, Lake of Outrage, Rolling Fields (Max Raid Battle)","Trade Toxel in Hammerlocke Bridge Field Bridge Field, Hammerlocke Hills, Lake of Outrage, Rolling Fields (Max Raid Battle)",,"Route 230 (Poké Radar) Grand Underground - Fountainspring Cave, Dazzling Cave, Stargleam Cavern","Route 230 (Poké Radar) Grand Underground - Fountainspring Cave, Dazzling Cave, Stargleam Cavern","Crimson Mirelands: Cottonsedge Prairie Cobalt Coastlands: Bathers' Lagoon Day (also mass outbreaks Day Night), Tranquility Cove Day, massive mass outbreaks",,
Togetic,#0176,False,"Stony Wilderness Bridge Field, Hammerlocke Hills, Lake of Outrage, Rolling Fields (Max Raid Battle)","Stony Wilderness Bridge Field, Hammerlocke Hills, Lake of Outrage, Rolling Fields (Max Raid Battle)",Max Lair (Dynamax Adventure),Evolve Togepi,Evolve Togepi,"Crimson Mirelands: near Bolderoll Slope Flying, near Cottonsedge Prairie Flying Cobalt Coastlands: Tranquility Cove Day, massive mass outbreaks",,
Natu,#0177,False,"Rolling Fields, West Lake Axewell, North Lake Miloch, South Lake Miloch, Giant's Seat, Giant's Mirror Rolling Fields, East Lake Axewell, Motostoke Riverbank, Bridge Field, Stony Wilderness, Giant's Cap, Hammerlocke Hills (Max Raid Battle)","Rolling Fields, West Lake Axewell, North Lake Miloch, South Lake Miloch, Giant's Seat, Giant's Mirror Rolling Fields, East Lake Axewell, Motostoke Riverbank, Bridge Field, Stony Wilderness, Giant's Cap, Hammerlocke Hills (Max Raid Battle)",,"Route 224 (Swarm) Grand Underground - Spacious Cave, Dazzling Cave, Stargleam Cavern (After obtaining the National Pokédex)","Route 224 (Swarm) Grand Underground - Spacious Cave, Dazzling Cave, Stargleam Cavern (After obtaining the National Pokédex)",Unobtainable,,
Xatu,#0178,False,"East Lake Axewell, Giant's Mirror, Giant's Seat, North Lake Miloch Bridge Field, East Lake Axewell, Giant's Cap, Hammerlocke Hills, Motostoke Riverbank, Rolling Fields, Stony Wilderness (Max Raid Battle)","East Lake Axewell, Giant's Mirror, Giant's Seat, North Lake Miloch Bridge Field, East Lake Axewell, Giant's Cap, Hammerlocke Hills, Motostoke Riverbank, Rolling Fields, Stony Wilderness (Max Raid Battle)",Max Lair (Dynamax Adventure),Evolve Natu,Evolve Natu,Unobtainable,,
Mareep,#0179,False,Unobtainable,Unobtainable,,"Valley Windworks (Poké Radar) Grand Underground - Grassland Cave, Whiteout Cave, Sunlit Cavern (After obtaining the National Pokédex)","Valley Windworks (Poké Radar) Grand Underground - Grassland Cave, Whiteout Cave, Sunlit Cavern (After obtaining the National Pokédex)",Unobtainable,,
Flaaffy,#0180,False,Unobtainable,Unobtainable,,"Route 222 (Poké Radar) Grand Underground - Grassland Cave, Whiteout Cave, Sunlit Cavern (After obtaining the National Pokédex)","Route 222 (Poké Radar) Grand Underground - Grassland Cave, Whiteout Cave, Sunlit Cavern (After obtaining the National Pokédex)",Unobtainable,,
Ampharos,#0181,False,Unobtainable,Unobtainable,,Evolve Flaaffy,Evolve Flaaffy,Unobtainable,,
Bellossom,#0182,False,Giant's Mirror (Wanderer) Dappled Grove (Max Raid Battle),Giant's Mirror (Wanderer) Dappled Grove (Max Raid Battle),Max Lair (Dynamax Adventure),Evolve Gloom,Evolve Gloom,Unobtainable,,
Marill,#0183,False,Trade Version 1.2.0+,Trade Version 1.2.0+,"Fields of Honor, Soothing Wetlands (Wanderer) Fields of Honor (Max Raid Battle)","Great Marsh, Trophy Garden","Great Marsh, Trophy Garden",Unobtainable,,
Azumarill,#0184,False,Trade Version 1.2.0+,Trade Version 1.2.0+,"Soothing Wetlands, Training Lowlands (Wanderer) Fields of Honor (Max Raid Battle) Max Lair (Dynamax Adventure)",Evolve Marill,Evolve Marill,Unobtainable,,
Sudowoodo,#0185,False,"Bridge Field, Dusty Bowl, Hammerlocke Hills, Motostoke Outskirts, Motostoke Riverbank Giant's Seat Sw, Rolling Fields, Stony Wilderness (Max Raid Battle)","Bridge Field, Dusty Bowl, Hammerlocke Hills, Motostoke Outskirts, Motostoke Riverbank Giant's Seat Sw, Rolling Fields, Stony Wilderness (Max Raid Battle)",Fields of Honor (Max Raid Battle) Max Lair (Dynamax Adventure),Evolve Bonsly,Routes 214 and 221,"Crimson Mirelands: Cloudpool Ridge and nearby, massive mass outbreaks Coronet Highlands: Celestica Ruins and nearby",,
