Pokemon,No.,Caught?,Sun,Moon,Ultra Sun,Ultra Moon,Let's Go Pikachu,Let's Go Eevee
Marowak,#0105,False,Trade (Kantonian Form) Evolve Cubone (Alolan Form),Trade (Kantonian Form) Evolve Cubone (Alolan Form),Evolve Cubone in Ultra Space (Kantonian Form) Evolve Cubone (Alolan Form) Received from Samson Oak at Heahea Beach* (Totem-sized; Alolan Form),Evolve Cubone in Ultra Space (Kantonian Form) Evolve Cubone (Alolan Form),Evolve Cubone (Kantonian Form) Trade Kantonian Marowak in Fuchsia City (Alolan Form),Evolve Cubone (Kantonian Form) Trade Kantonian Marowak in Fuchsia City (Alolan Form)
Hitmonlee,#0106,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Received from the master of the Fighting Dojo in Saffron City (choice between it and Hitmonchan) Victory Road,Received from the master of the Fighting Dojo in Saffron City (choice between it and Hitmonchan) Victory Road
Hitmonchan,#0107,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Received from the master of the Fighting Dojo in Saffron City (choice between it and Hitmonlee) Victory Road,Received from the master of the Fighting Dojo in Saffron City (choice between it and Hitmonlee) Victory Road
Lickitung,#0108,False,Trade,Trade,Poni Gauntlet,Poni Gauntlet,Cerulean Cave,Cerulean Cave
Koffing,#0109,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Trade,"Power Plant, Pokémon Mansion"
Weezing,#0110,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Trade,"Power Plant, Pokémon Mansion"
Rhyhorn,#0111,False,Blush Mountain (Island Scan) Su,Blush Mountain (Island Scan) Su,Blush Mountain (Island Scan) Su,Blush Mountain (Island Scan) Su,"Rock Tunnel, Victory Road, Cerulean Cave","Rock Tunnel, Victory Road, Cerulean Cave"
Rhydon,#0112,False,Evolve Rhyhorn,Evolve Rhyhorn,Evolve Rhyhorn,Evolve Rhyhorn,"Victory Road, Cerulean Cave","Victory Road, Cerulean Cave"
Chansey,#0113,False,"Route 12, Mount Hokulani, Blush Mountain, Poni Grove (SOS Battle)","Route 12, Mount Hokulani, Blush Mountain, Poni Grove (SOS Battle)",Poni Plains,Poni Plains,"Routes 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 21 and 23, Diglett's Cave, Mt. Moon, Pokémon Tower, Power Plant, Pokémon Mansion, Cerulean Cave","Routes 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 21 and 23, Diglett's Cave, Mt. Moon, Pokémon Tower, Power Plant, Pokémon Mansion, Cerulean Cave"
Tangela,#0114,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Route 21,Route 21
Kangaskhan,#0115,False,Wela Volcano Park,Wela Volcano Park,Wela Volcano Park,Wela Volcano Park,Rock Tunnel,Rock Tunnel
Horsea,#0116,False,Kala'e Bay (Island Scan) We,Kala'e Bay (Island Scan) We,Kala'e Bay (Island Scan) We,Kala'e Bay (Island Scan) We,"Routes 11, 12, and 13 (Sea Skim)","Routes 11, 12, and 13 (Sea Skim)"
Seadra,#0117,False,Evolve Horsea,Evolve Horsea,Evolve Horsea,Evolve Horsea,"Routes 11, 12, and 13 (Sea Skim)","Routes 11, 12, and 13 (Sea Skim)"
Goldeen,#0118,False,"Brooklet Hill, Malie Garden (fishing)","Brooklet Hill, Malie Garden (fishing)","Brooklet Hill, Malie Garden (fishing)","Brooklet Hill, Malie Garden (fishing)",Route 6 (Sea Skim),Route 6 (Sea Skim)
Seaking,#0119,False,"Brooklet Hill, Malie Garden (SOS Battle)","Brooklet Hill, Malie Garden (SOS Battle)","Brooklet Hill, Malie Garden (SOS Battle)","Brooklet Hill, Malie Garden (SOS Battle)",Route 6 (Sea Skim),Route 6 (Sea Skim)
Staryu,#0120,False,"Hano Beach, Poké Pelago* Route 7 (fishing)","Hano Beach, Poké Pelago* Route 7 (fishing)","Hano Beach, Poké Pelago Route 7 (fishing)","Hano Beach, Poké Pelago Route 7 (fishing)","Routes 18, 19, and 21 (Sea Skim)","Routes 18, 19, and 21 (Sea Skim)"
Starmie,#0121,False,Route 7 (SOS Battle),Route 7 (SOS Battle),"Route 7, Hano Beach (SOS Battle)","Route 7, Hano Beach (SOS Battle)","Routes 18, 19, and 21 (Sea Skim)","Routes 18, 19, and 21 (Sea Skim)"
Mr. Mime,#0122,False,Trade,Trade,Hau'oli City (SOS Battle) Poké Pelago,Hau'oli City (SOS Battle) Poké Pelago,Route 11,Route 11
Scyther,#0123,False,"Poni Plains, Poké Pelago*","Poni Plains, Poké Pelago*",Poni Plains,Poni Plains,Routes 14 and 15,Trade
Jynx,#0124,False,Trade,Trade,Seaward Cave (SOS Battle) Poké Pelago,Seaward Cave (SOS Battle) Poké Pelago,Seafoam Islands,Seafoam Islands
Electabuzz,#0125,False,"Route 12, Blush Mountain (SOS Battle)","Route 12, Blush Mountain (SOS Battle)","Blush Mountain, Mount Hokulani (SOS Battle)","Blush Mountain, Mount Hokulani (SOS Battle)",Power Plant,Power Plant
Magmar,#0126,False,Wela Volcano Park (SOS Battle),Wela Volcano Park (SOS Battle),Wela Volcano Park (SOS Battle),Wela Volcano Park (SOS Battle),Pokémon Mansion,Pokémon Mansion
Pinsir,#0127,False,"Lush Jungle, Poni Grove, Poké Pelago*","Lush Jungle, Poni Grove, Poké Pelago*","Lush Jungle, Poni Grove, Exeggutor Island, Poké Pelago* Exeggutor Island (Three)","Lush Jungle, Poni Grove, Exeggutor Island, Poké Pelago* Exeggutor Island (Three)",Trade,Routes 14 and 15
Tauros,#0128,False,"Paniola Ranch, Poni Plains","Paniola Ranch, Poni Plains","Paniola Ranch, Poni Plains Trade Bewear in Poni Gauntlet","Paniola Ranch, Poni Plains Trade Bewear in Poni Gauntlet",Routes 14 and 15,Routes 14 and 15
Magikarp,#0129,False,"Routes 7, 8, 9, 13, 14, 15, Melemele Sea, Seaward Cave, Kala'e Bay, Paniola Town, Akala Outskirts, Brooklet Hill, Malie Garden, Seafolk Village, Poni Wilds, Poni Breaker Coast, Poni Meadow, Poni Gauntlet, Vast Poni Canyon, Secluded Shore (fishing)","Routes 7, 8, 9, 13, 14, 15, Melemele Sea, Seaward Cave, Kala'e Bay, Paniola Town, Akala Outskirts, Brooklet Hill, Malie Garden, Seafolk Village, Poni Wilds, Poni Breaker Coast, Poni Meadow, Poni Gauntlet, Vast Poni Canyon, Secluded Shore (fishing)","Routes 7, 8, 9, 13, 14, 15, Melemele Sea, Seaward Cave, Kala'e Bay, Paniola Town, Akala Outskirts, Brooklet Hill, Malie Garden, Seafolk Village, Poni Breaker Coast, Poni Meadow, Poni Gauntlet, Vast Poni Canyon (fishing)","Routes 7, 8, 9, 13, 14, 15, Melemele Sea, Seaward Cave, Kala'e Bay, Paniola Town, Akala Outskirts, Brooklet Hill, Malie Garden, Seafolk Village, Poni Breaker Coast, Poni Meadow, Poni Gauntlet, Vast Poni Canyon (fishing)","Routes 4, 6, 10, 11, 12, 13, 18, 19, 20, 21, 22, 23, 24, and 25, Seafoam Islands, Cerulean Cave (Sea Skim) Buy from Magikarp salesman for $500 on Route 4","Routes 4, 6, 10, 11, 12, 13, 18, 19, 20, 21, 22, 23, 24, and 25, Seafoam Islands, Cerulean Cave (Sea Skim) Buy from Magikarp salesman for $500 on Route 4"
Gyarados,#0130,False,"Routes 7, 8, 9, 13, 14, and 15, Melemele Sea, Seaward Cave, Kala'e Bay, Paniola Town, Akala Outskirts, Brooklet Hill, Malie Garden, Seafolk Village, Poni Wilds, Poni Breaker Coast, Poni Meadow, Poni Gauntlet, Vast Poni Canyon, Secluded Shore (SOS Battle, fishing)","Routes 7, 8, 9, 13, 14, and 15, Melemele Sea, Seaward Cave, Kala'e Bay, Paniola Town, Akala Outskirts, Brooklet Hill, Malie Garden, Seafolk Village, Poni Wilds, Poni Breaker Coast, Poni Meadow, Poni Gauntlet, Vast Poni Canyon, Secluded Shore (SOS Battle, fishing)","Routes 7, 8, 9, 13, 14, and 15, Melemele Sea, Seaward Cave, Kala'e Bay, Paniola Town, Akala Outskirts, Brooklet Hill, Malie Garden, Seafolk Village, Poni Breaker Coast, Poni Meadow, Poni Gauntlet, Vast Poni Canyon (SOS Battle, fishing)","Routes 7, 8, 9, 13, 14, and 15, Melemele Sea, Seaward Cave, Kala'e Bay, Paniola Town, Akala Outskirts, Brooklet Hill, Malie Garden, Seafolk Village, Poni Breaker Coast, Poni Meadow, Poni Gauntlet, Vast Poni Canyon (SOS Battle, fishing)",Route 20 (Sea Skim),Route 20 (Sea Skim)
Lapras,#0131,False,Poni Wilds (Surfing) Poké Pelago*,Poni Wilds (Surfing) Poké Pelago*,Poni Breaker Coast (Surfing) Poké Pelago*,Poni Breaker Coast (Surfing) Poké Pelago*,Received from a person in Silph Co. (Saffron City) Routes 19 and 20,Received from a person in Silph Co. (Saffron City) Routes 19 and 20
Ditto,#0132,False,Mount Hokulani,Mount Hokulani,Mount Hokulani Route 9 (One) Konikoni City (Four),Mount Hokulani Route 9 (One) Konikoni City (Four),Pokémon Mansion and Cerulean Cave,Pokémon Mansion and Cerulean Cave
Eevee,#0133,False,Hatch Egg received at the Pokémon Nursery in Paniola Ranch Routes 4 and 6,Hatch Egg received at the Pokémon Nursery in Paniola Ranch Routes 4 and 6,Hatch Egg received at the Pokémon Nursery in Paniola Ranch Routes 4 and 6,Hatch Egg received at the Pokémon Nursery in Paniola Ranch Routes 4 and 6,Route 17,Route 17 (Eevee) First Pokémon from Professor Oak in Pallet Town (Partner Eevee)
Vaporeon,#0134,False,Evolve Eevee,Evolve Eevee,Evolve Eevee,Evolve Eevee,Evolve Eevee,Evolve Eevee
Jolteon,#0135,False,Evolve Eevee,Evolve Eevee,Evolve Eevee,Evolve Eevee,Evolve Eevee,Evolve Eevee
Flareon,#0136,False,Evolve Eevee,Evolve Eevee,Evolve Eevee,Evolve Eevee,Evolve Eevee,Evolve Eevee
Porygon,#0137,False,Received in Aether House in Route 15 (after becoming the Champion),Received in Aether House in Route 15 (after becoming the Champion),Received in Aether House in Route 15 (after completing Episode R R),Received in Aether House in Route 15 (after completing Episode R R),Route 7 Received from a person in Saffron City,Route 7 Received from a person in Saffron City
Omanyte,#0138,False,Trade Receive Helix Fossil held by a traded Pokémon and revive it,Trade Receive Helix Fossil held by a traded Pokémon and revive it,Revive from Helix Fossil at the Fossil Restoration Center on Route 8,Revive from Helix Fossil at the Fossil Restoration Center on Route 8,Revive from Helix Fossil at the Cinnabar Lab on Cinnabar Island,Revive from Helix Fossil at the Cinnabar Lab on Cinnabar Island
Omastar,#0139,False,Trade,Trade,Evolve Omanyte,Evolve Omanyte,Evolve Omanyte,Evolve Omanyte
Kabuto,#0140,False,Trade Receive Dome Fossil held by a traded Pokémon and revive it,Trade Receive Dome Fossil held by a traded Pokémon and revive it,Revive from Dome Fossil at the Fossil Restoration Center on Route 8,Revive from Dome Fossil at the Fossil Restoration Center on Route 8,Revive from Dome Fossil at the Cinnabar Lab on Cinnabar Island,Revive from Dome Fossil at the Cinnabar Lab on Cinnabar Island
Kabutops,#0141,False,Trade,Trade,Evolve Kabuto,Evolve Kabuto,Evolve Kabuto,Evolve Kabuto
Aerodactyl,#0142,False,Seafolk Village (Gift),Seafolk Village (Gift),Seafolk Village (Gift),Seafolk Village (Gift),Revive from Old Amber at the Cinnabar Lab on Cinnabar Island,Revive from Old Amber at the Cinnabar Lab on Cinnabar Island
Snorlax,#0143,False,Route 1 (SOS Battle),Route 1 (SOS Battle),Route 1 (SOS Battle),Route 1 (SOS Battle),Routes 12 and 16 (Only two) Cerulean Cave,Routes 12 and 16 (Only two) Cerulean Cave
Articuno,#0144,False,Trade,Trade,Ultra Space Wilds (Cliff World) (Only one),Ultra Space Wilds (Cliff World) (Only one),"Seafoam Islands (Only one) Routes 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, and 25","Seafoam Islands (Only one) Routes 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, and 25"
Zapdos,#0145,False,Trade,Trade,Ultra Space Wilds (Cliff World) (Only one),Ultra Space Wilds (Cliff World) (Only one),"Power Plant (Only one) Routes 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, and 25","Power Plant (Only one) Routes 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, and 25"
Moltres,#0146,False,Trade,Trade,Ultra Space Wilds (Cliff World) (Only one),Ultra Space Wilds (Cliff World) (Only one),"Victory Road (Only one) Routes 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, and 25","Victory Road (Only one) Routes 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, and 25"
Dratini,#0147,False,"Poni Gauntlet, Poni Meadow, Vast Poni Canyon (fishing)","Poni Gauntlet, Poni Meadow, Vast Poni Canyon (fishing)","Poni Gauntlet, Poni Meadow (fishing)","Poni Gauntlet, Poni Meadow (fishing)",Route 10 (Sea Skim),Route 10 (Sea Skim)
Dragonair,#0148,False,"Poni Gauntlet, Poni Meadow, Vast Poni Canyon (SOS Battle)","Poni Gauntlet, Poni Meadow, Vast Poni Canyon (SOS Battle)","Poni Gauntlet, Poni Meadow (SOS Battle)","Poni Gauntlet, Poni Meadow (SOS Battle)",Route 10 (Sea Skim),Route 10 (Sea Skim)
Dragonite,#0149,False,Poni Gauntlet (SOS Battle),Poni Gauntlet (SOS Battle),Poni Gauntlet (SOS Battle),Poni Gauntlet (SOS Battle),"Routes 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, and 25","Routes 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, and 25"
Mewtwo,#0150,False,Trade,Trade,Ultra Space Wilds (Rocky World) (Only one),Ultra Space Wilds (Rocky World) (Only one),Cerulean Cave (Only one),Cerulean Cave (Only one)
Mew,#0151,False,Event,Event,Trade,Trade,Redeem from Poké Ball Plus,Redeem from Poké Ball Plus
Chikorita,#0152,False,Route 2 (Island Scan) Fr,Route 2 (Island Scan) Fr,Trade,Trade,Unobtainable,Unobtainable
Bayleef,#0153,False,Evolve Chikorita,Evolve Chikorita,Trade,Trade,Unobtainable,Unobtainable
Meganium,#0154,False,Evolve Bayleef,Evolve Bayleef,Trade,Trade,Unobtainable,Unobtainable
Cyndaquil,#0155,False,Route 3 (Island Scan) Su,Route 3 (Island Scan) Su,Trade,Trade,Unobtainable,Unobtainable
Quilava,#0156,False,Evolve Cyndaquil,Evolve Cyndaquil,Trade,Trade,Unobtainable,Unobtainable
Typhlosion,#0157,False,Evolve Quilava,Evolve Quilava,Trade,Trade,Unobtainable,Unobtainable
Totodile,#0158,False,Seaward Cave (Island Scan) Mo,Seaward Cave (Island Scan) Mo,Trade,Trade,Unobtainable,Unobtainable
Croconaw,#0159,False,Evolve Totodile,Evolve Totodile,Trade,Trade,Unobtainable,Unobtainable
Feraligatr,#0160,False,Evolve Croconaw,Evolve Croconaw,Trade,Trade,Unobtainable,Unobtainable
Sentret,#0161,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Furret,#0162,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Hoothoot,#0163,False,Trade,Trade,Lush Jungle Night Poké Pelago*,Lush Jungle Night Poké Pelago*,Unobtainable,Unobtainable
Noctowl,#0164,False,Trade,Trade,Lush Jungle Night (SOS Battle),Lush Jungle Night (SOS Battle),Unobtainable,Unobtainable
Ledyba,#0165,False,Route 1 Day,Route 1 Day,Route 1 Day,Route 1 Day,Unobtainable,Unobtainable
Ledian,#0166,False,"Routes 10, 11, and 17, Malie Garden, Ula'ula Meadow Day","Routes 10, 11, and 17, Malie Garden, Ula'ula Meadow Day","Routes 10, 11, and 17, Malie Garden, Ula'ula Meadow Day","Routes 10, 11, and 17, Malie Garden, Ula'ula Meadow Day",Unobtainable,Unobtainable
Spinarak,#0167,False,Route 1 Night,Route 1 Night,Route 1 Night,Route 1 Night,Unobtainable,Unobtainable
Ariados,#0168,False,"Routes 10, 11, and 17, Malie Garden, Ula'ula Meadow Night","Routes 10, 11, and 17, Malie Garden, Ula'ula Meadow Night","Routes 10, 11, and 17, Malie Garden, Ula'ula Meadow Night","Routes 10, 11, and 17, Malie Garden, Ula'ula Meadow Night",Unobtainable,Unobtainable
Crobat,#0169,False,Resolution Cave (SOS Battle),Resolution Cave (SOS Battle),"Resolution Cave, Lush Jungle (Cave) (SOS Battle)","Resolution Cave, Lush Jungle (Cave) (SOS Battle)",Unobtainable,Unobtainable
Chinchou,#0170,False,"Route 8, Akala Outskirts (Fishing)","Route 8, Akala Outskirts (Fishing)","Route 8, Akala Outskirts (Fishing)","Route 8, Akala Outskirts (Fishing)",Unobtainable,Unobtainable
Lanturn,#0171,False,Evolve Chinchou,Evolve Chinchou,"Route 8, Akala Outskirts (SOS Battle)","Route 8, Akala Outskirts (SOS Battle)",Unobtainable,Unobtainable
Pichu,#0172,False,"Route 1, Hau'oli City","Route 1, Hau'oli City",Route 1,Route 1,Unobtainable,Unobtainable
Cleffa,#0173,False,Mount Hokulani Night,Mount Hokulani Night,Mount Hokulani Night,Mount Hokulani Night,Unobtainable,Unobtainable
Igglybuff,#0174,False,Routes 4 and 6 Day,Routes 4 and 6 Day,Routes 4 and 6 Day,Routes 4 and 6 Day,Unobtainable,Unobtainable
Togepi,#0175,False,Breed Togekiss,Breed Togekiss,Trade,Trade,Unobtainable,Unobtainable
Togetic,#0176,False,Evolve Togepi,Evolve Togepi,Trade,Trade,Unobtainable,Unobtainable
Natu,#0177,False,Trade,Trade,Akala Outskirts Day Poké Pelago*,Akala Outskirts Day Poké Pelago*,Unobtainable,Unobtainable
Xatu,#0178,False,Trade,Trade,Akala Outskirts Day (SOS Battle),Akala Outskirts Day (SOS Battle),Unobtainable,Unobtainable
Mareep,#0179,False,Trade,Trade,Paniola Ranch,Paniola Ranch,Unobtainable,Unobtainable
Flaaffy,#0180,False,Trade,Trade,"Evolve Mareep, Poké Pelago","Evolve Mareep, Poké Pelago",Unobtainable,Unobtainable
Ampharos,#0181,False,Trade,Trade,Evolve Flaaffy,Evolve Flaaffy,Unobtainable,Unobtainable
Bellossom,#0182,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Marill,#0183,False,Brooklet Hill (Island Scan) Sa,Brooklet Hill (Island Scan) Sa,Trade,Trade,Unobtainable,Unobtainable
Azumarill,#0184,False,Evolve Marill,Evolve Marill,Trade,Trade,Unobtainable,Unobtainable
Sudowoodo,#0185,False,"Routes 1 and 5, Lush Jungle (SOS Battle)","Routes 1 and 5, Lush Jungle (SOS Battle)","Routes 1 and 5, Lush Jungle (SOS Battle)","Routes 1 and 5, Lush Jungle (SOS Battle)",Unobtainable,Unobtainable
Politoed,#0186,False,Malie Garden (SOS Battle in rain) Night,Malie Garden (SOS Battle in rain) Night,Malie Garden (SOS Battle in rain) Night,Malie Garden (SOS Battle in rain) Night,Unobtainable,Unobtainable
Hoppip,#0187,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Skiploom,#0188,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Jumpluff,#0189,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Aipom,#0190,False,Trade,Trade,Poni Plains,Poni Plains,Unobtainable,Unobtainable
Sunkern,#0191,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Sunflora,#0192,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Yanma,#0193,False,Trade,Trade,Breed Yanmega,Breed Yanmega,Unobtainable,Unobtainable
Wooper,#0194,False,Trade,Trade,Breed Quagsire,Breed Quagsire,Unobtainable,Unobtainable
Quagsire,#0195,False,Trade,Trade,Ultra Space Wilds (Water World),Ultra Space Wilds (Water World),Unobtainable,Unobtainable
Espeon,#0196,False,Routes 4 and 6 Day (SOS Battle),Routes 4 and 6 Day (SOS Battle),Routes 4 and 6 Day (SOS Battle),Routes 4 and 6 Day (SOS Battle),Unobtainable,Unobtainable
Umbreon,#0197,False,Routes 4 and 6 Night (SOS Battle),Routes 4 and 6 Night (SOS Battle),Routes 4 and 6 Night (SOS Battle),Routes 4 and 6 Night (SOS Battle),Unobtainable,Unobtainable
Murkrow,#0198,False,"Vast Poni Canyon, Poké Pelago","Vast Poni Canyon, Poké Pelago",Hau'oli Cemetery Night,Hau'oli Cemetery Night,Unobtainable,Unobtainable
Slowking,#0199,False,Evolve Slowpoke,Evolve Slowpoke,Kala'e Bay (SOS Battle),Kala'e Bay (SOS Battle),Unobtainable,Unobtainable
Misdreavus,#0200,False,Hau'oli Cemetery Night,Hau'oli Cemetery Night,Poni Meadow Night Poké Pelago*,Poni Meadow Night Poké Pelago*,Unobtainable,Unobtainable
Unown,#0201,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Wobbuffet,#0202,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Girafarig,#0203,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Pineco,#0204,False,Trade,Trade,Route 10,Route 10,Unobtainable,Unobtainable
Forretress,#0205,False,Trade,Trade,Evolve Pineco,Evolve Pineco,Unobtainable,Unobtainable
Dunsparce,#0206,False,Trade,Trade,Route 2,Route 2,Unobtainable,Unobtainable
Gligar,#0207,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Steelix,#0208,False,Trade,Trade,Evolve Onix,Evolve Onix,Unobtainable,Unobtainable
Snubbull,#0209,False,Breed Granbull,Breed Granbull,"Breed Granbull, Poké Pelago*","Breed Granbull, Poké Pelago*",Unobtainable,Unobtainable
Granbull,#0210,False,"Ancient Poni Path, Poni Gauntlet, Poni Grove, Poni Wilds","Ancient Poni Path, Poni Gauntlet, Poni Grove, Poni Wilds","Ancient Poni Path, Poni Gauntlet, Poni Wilds","Ancient Poni Path, Poni Gauntlet, Poni Wilds",Unobtainable,Unobtainable
Qwilfish,#0211,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Scizor,#0212,False,Evolve Scyther,Evolve Scyther,Evolve Scyther,Evolve Scyther,Unobtainable,Unobtainable
Shuckle,#0213,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Heracross,#0214,False,Trade,Trade,Poni Grove,Poni Grove,Unobtainable,Unobtainable
Sneasel,#0215,False,Mount Lanakila,Mount Lanakila,Mount Lanakila,Mount Lanakila,Unobtainable,Unobtainable
Teddiursa,#0216,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Ursaring,#0217,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Slugma,#0218,False,Trade,Trade,Breed Magcargo,Breed Magcargo,Unobtainable,Unobtainable
Magcargo,#0219,False,Trade,Trade,Ultra Space Wilds (Cave World),Ultra Space Wilds (Cave World),Unobtainable,Unobtainable
Swinub,#0220,False,Tapu Village (Island Scan) Mo,Tapu Village (Island Scan) Mo,Tapu Village (Island Scan) Mo,Tapu Village (Island Scan) Mo,Unobtainable,Unobtainable
Piloswine,#0221,False,Evolve Swinub,Evolve Swinub,Evolve Swinub,Evolve Swinub,Unobtainable,Unobtainable
Corsola,#0222,False,"Route 9, Melemele Sea (fishing)","Route 9, Melemele Sea (fishing)","Route 9, Melemele Sea (fishing) Poké Pelago","Route 9, Melemele Sea (fishing) Poké Pelago",Unobtainable,Unobtainable
Remoraid,#0223,False,Trade,Trade,"Routes 1 and 8, Hau'oli City, Kala'e Bay, Melemele Sea (Fishing or Surfing, SOS Battle)","Routes 1 and 8, Hau'oli City, Kala'e Bay, Melemele Sea (Fishing or Surfing, SOS Battle)",Unobtainable,Unobtainable
Octillery,#0224,False,Trade,Trade,"Route 8, Kala'e Bay, Melemele Sea (SOS Battle, fishing)","Route 8, Kala'e Bay, Melemele Sea (SOS Battle, fishing)",Unobtainable,Unobtainable
Delibird,#0225,False,Route 3,Route 3,Seaward Cave,Seaward Cave,Unobtainable,Unobtainable
Mantine,#0226,False,Trade,Trade,Evolve Mantyke,Evolve Mantyke,Unobtainable,Unobtainable
Skarmory,#0227,False,"Routes 10 and 17, Mount Hokulani, Vast Poni Canyon, Poké Pelago*","Routes 10 and 17, Mount Hokulani, Vast Poni Canyon, Poké Pelago*","Routes 10 and 17, Mount Hokulani, Vast Poni Canyon","Routes 10 and 17, Mount Hokulani, Vast Poni Canyon",Unobtainable,Unobtainable
Houndour,#0228,False,Trade,Trade,Poké Pelago*,Trade,Unobtainable,Unobtainable
Houndoom,#0229,False,Trade,Trade,Route 12,Trade,Unobtainable,Unobtainable
Kingdra,#0230,False,Evolve Seadra,Evolve Seadra,Evolve Seadra,Evolve Seadra,Unobtainable,Unobtainable
Phanpy,#0231,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Donphan,#0232,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Porygon2,#0233,False,Evolve Porygon,Evolve Porygon,Evolve Porygon,Evolve Porygon,Unobtainable,Unobtainable
Stantler,#0234,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Smeargle,#0235,False,Route 2,Route 2,Route 2,Route 2,Unobtainable,Unobtainable
Tyrogue,#0236,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Hitmontop,#0237,False,Pokémon Bank,Pokémon Bank,Pokémon Bank,Pokémon Bank,Unobtainable,Unobtainable
Smoochum,#0238,False,Trade,Trade,Seaward Cave,Seaward Cave,Unobtainable,Unobtainable
Elekid,#0239,False,"Route 12, Blush Mountain","Route 12, Blush Mountain","Blush Mountain, Mount Hokulani","Blush Mountain, Mount Hokulani",Unobtainable,Unobtainable
Magby,#0240,False,Wela Volcano Park,Wela Volcano Park,Wela Volcano Park,Wela Volcano Park,Unobtainable,Unobtainable
Miltank,#0241,False,"Paniola Ranch, Poni Plains","Paniola Ranch, Poni Plains","Paniola Ranch, Poni Plains","Paniola Ranch, Poni Plains",Unobtainable,Unobtainable
Blissey,#0242,False,Evolve Chansey,Evolve Chansey,Poni Plains (SOS Battle),Poni Plains (SOS Battle),Unobtainable,Unobtainable
Raikou,#0243,False,Trade,"Trade, Event",Ultra Space Wilds (Rocky World) (Only one),"Trade, Event",Unobtainable,Unobtainable
Entei,#0244,False,"Trade, Event",Trade,"Trade, Event",Ultra Space Wilds (Rocky World) (Only one),Unobtainable,Unobtainable
