Pokemon,No.,Caught?,Scarlet,Violet,The Hidden Treasure of Area Zero,The Hidden Treasure of Area Zero (Scarlet),The Hidden Treasure of Area Zero (Violet)
Omastar,#0139,False,"Unobtainable


","Unobtainable


",,,
Kabuto,#0140,False,"Unobtainable


","Unobtainable


",,,
Kabutops,#0141,False,"Unobtainable


","Unobtainable


",,,
Aerodactyl,#0142,False,"Unobtainable


","Unobtainable


",,,
Snorlax,#0143,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Timeless Woods Tera Raid Battles (5★, 6★)


",,
Articuno,#0144,False,Trade (Kantonian Form) Pokémon HOME (Galarian Form),Trade (Kantonian Form) Pokémon HOME (Galarian Form),"Glaseado Mountain after receiving the Articuno Treat from Snacksworth (Only one)  (Solo Quest) (Kantonian Form)


",,
Zapdos,#0145,False,Trade (Kantonian Form) Pokémon HOME (Galarian Form),Trade (Kantonian Form) Pokémon HOME (Galarian Form),"South Province: Area One after receiving the Zapdos Treat from Snacksworth (Only one)  (Solo Quest) (Kantonian Form)


",,
Moltres,#0146,False,Trade (Kantonian Form) Pokémon HOME (Galarian Form),Trade (Kantonian Form) Pokémon HOME (Galarian Form),"Asado Desert after receiving the Moltres Treat from Snacksworth (Only one) (Solo Quest) (Kantonian Form)


",,
Dratini,#0147,False,"South Province: Area Six North Province: Area Two, Casseroya Lake Tera Raid Battles (3★)


","South Province: Area Six North Province: Area Two, Casseroya Lake Tera Raid Battles (3★)


",,,
Dragonair,#0148,False,"North Province: Casseroya Lake South Province: Area Six (Electric Tera Type) Tera Raid Battles (4★)


","North Province: Casseroya Lake South Province: Area Six (Electric Tera Type) Tera Raid Battles (4★)


",,,
Dragonite,#0149,False,"North Province: Area Two, Casseroya Lake North Province: Area Two (Steel Tera Type) Tera Raid Battles (5★, 6★)


","North Province: Area Two, Casseroya Lake North Province: Area Two (Steel Tera Type) Tera Raid Battles (5★, 6★)


",,,
Mewtwo,#0150,False,"Pokémon HOME, Poké Portal News


","Pokémon HOME, Poké Portal News


",,,
Mew,#0151,False,"Event


","Event


",,,
Chikorita,#0152,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Coastal Biome, Torchlit Labyrinth (after boosting biodiversity in the Coastal Biome)


",,
Bayleef,#0153,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Evolve Chikorita


",,
Meganium,#0154,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Evolve Bayleef


",,
Cyndaquil,#0155,False,Trade,Trade,"Polar Biome (after boosting biodiversity in the Polar Biome)


",,
Quilava,#0156,False,Trade,Trade,"Evolve Cyndaquil


",,
Typhlosion,#0157,False,"Trade, Poké Portal News (Johtonian Form) Pokémon HOME, Poké Portal News (Hisuian Form)","Trade, Poké Portal News (Johtonian Form) Pokémon HOME, Poké Portal News (Hisuian Form)","Evolve Quilava (Johtonian Form)  Evolve Quilava in Pokémon Legends: Arceus via Pokémon HOME (Hisuian Form)


",,
Totodile,#0158,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Savanna Biome (after boosting biodiversity in the Savanna Biome)


",,
Croconaw,#0159,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Evolve Totodile


",,
Feraligatr,#0160,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Evolve Croconaw


",,
Sentret,#0161,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Kitakami Road, Apple Hills, Loyalty Plaza, Reveler's Road, Kitakami Hall, Mossfell Confluence Tera Raid Battles (1★)


",,
Furret,#0162,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Kitakami Road, Apple Hills, Reveler's Road, Kitakami Hall, Mossfell Confluence Tera Raid Battles (3★, 4★)


",,
Hoothoot,#0163,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Reveler's Road, Kitakami Hall, Mossfell Confluence, Fellhorn Gorge, Oni Mountain, Wistful Fields, Paradise Barrens, Kitakami Wilds, Timeless Woods Tera Raid Battles (1★)


",,
Noctowl,#0164,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Mossfell Confluence, Fellhorn Gorge, Oni Mountain, Wistful Fields, Paradise Barrens, Kitakami Wilds, Timeless Woods Tera Raid Battles (3★, 4★)


",,
Ledyba,#0165,False,"Unobtainable


","Unobtainable


",,,
Ledian,#0166,False,"Unobtainable


","Unobtainable


",,,
Spinarak,#0167,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Kitakami Road, Apple Hills, Loyalty Plaza, Reveler's Road, Kitakami Hall, Mossfell Confluence, Fellhorn Gorge, Kitakami Wilds, Timeless Woods Tera Raid Battles (1★)


",,
Ariados,#0168,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Mossfell Confluence, Fellhorn Gorge, Kitakami Wilds, Timeless Woods Tera Raid Battles (3★, 4★)


",,
Crobat,#0169,False,"Unobtainable


","Unobtainable


",,,
Chinchou,#0170,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Canyon Biome, Chargestone Cavern Tera Raid Battles (1★, 3★)


",,
Lanturn,#0171,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Canyon Biome, Chargestone Cavern Tera Raid Battles (4★)


",,
Pichu,#0172,False,"South Province: Area One, Area Two, Los Platos Tera Raid Battles (1★)","South Province: Area One, Area Two, Los Platos Tera Raid Battles (1★)","Kitakami Road, Apple Hills, Loyalty Plaza, Reveler's Road, Oni Mountain, Oni's Maw, Infernal Pass, Crystal Pool, Wistful Fields


",,
Cleffa,#0173,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Reveler's Road, Kitakami Hall, Oni Mountain, Infernal Pass, Crystal Pool Tera Raid Battles (1★)


",,
Igglybuff,#0174,False,"South Province: Area One, Area Two, Los Platos, Pokémon League Tera Raid Battles (1★)


","South Province: Area One, Area Two, Los Platos, Pokémon League Tera Raid Battles (1★)


",,,
Togepi,#0175,False,"Unobtainable


","Unobtainable


",,,
Togetic,#0176,False,"Unobtainable


","Unobtainable


",,,
Natu,#0177,False,"Unobtainable


","Unobtainable


",,,
Xatu,#0178,False,"Unobtainable


","Unobtainable


",,,
Mareep,#0179,False,"South Province: Area Two Tera Raid Battles (2★)


","South Province: Area Two Tera Raid Battles (2★)


",,,
Flaaffy,#0180,False,"South Province: Area Three West Province: Area Two Tera Raid Battles (3★)


","South Province: Area Three West Province: Area Two Tera Raid Battles (3★)


",,,
Ampharos,#0181,False,"South Province: Area Six, Alfornada Cavern North Province: Area One Tera Raid Battles (4★)


","South Province: Area Six, Alfornada Cavern North Province: Area One Tera Raid Battles (4★)


",,,
Bellossom,#0182,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Coastal Biome, Torchlit Labyrinth Tera Raid Battles (4★)


",,
Marill,#0183,False,"South Province: Area One, Area Two, Area Four, Area Five East Province: Area Two West Province: Area One Tera Raid Battles (3★)


","South Province: Area One, Area Two, Area Four, Area Five East Province: Area Two West Province: Area One Tera Raid Battles (3★)


",,,
Azumarill,#0184,False,"West Province: Area Two North Province: Casseroya Lake North Province: Casseroya Lake (Fairy Tera Type) Tera Raid Battles (4★)


","West Province: Area Two North Province: Casseroya Lake North Province: Casseroya Lake (Fairy Tera Type) Tera Raid Battles (4★)


",,,
Sudowoodo,#0185,False,West Province: Area Three North Province: Socarrat Trail Tera Raid Battles (3★),West Province: Area Three North Province: Socarrat Trail Tera Raid Battles (3★),"Oni Mountain, Wistful Fields, Paradise Barrens, Kitakami Wilds, Timeless Woods


",,
Politoed,#0186,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Tera Raid Battles (5★, 6★)


",,
Hoppip,#0187,False,"South Province: Area One, Area Two, Poco Path Tera Raid Battles (1★)


","South Province: Area One, Area Two, Poco Path Tera Raid Battles (1★)


",,,
Skiploom,#0188,False,"South Province: Area Three, Area Five East Province: Area One, Area Two West Province: Area Two Tera Raid Battles (3★)


","South Province: Area Three, Area Five East Province: Area One, Area Two West Province: Area Two Tera Raid Battles (3★)


",,,
Jumpluff,#0189,False,"South Province: Area Six West Province: Area Three North Province: Area One, Area Two, Area Three Area Zero


","South Province: Area Six West Province: Area Three North Province: Area One, Area Two, Area Three Area Zero


",,,
Aipom,#0190,False,Trade Version 2.0.1+,Trade Version 2.0.1+,,Union Circle Tera Raid Battle Search (3★),"Reveler's Road, Kitakami Hall, Mossfell Confluence, Fellhorn Gorge, Wistful Fields, Paradise Barrens, Kitakami Wilds, Timeless Woods Tera Raid Battles (3★)


"
Sunkern,#0191,False,"South Province: Area One, Area Two Tera Raid Battles (1★)


","South Province: Area One, Area Two Tera Raid Battles (1★)


",,,
Sunflora,#0192,False,"South Province: Area Six East Province: East Paldean Sea, Tagtree Thicket North Province: Area Two, Area Three Tera Raid Battles (3★)


","South Province: Area Six East Province: East Paldean Sea, Tagtree Thicket North Province: Area Two, Area Three Tera Raid Battles (3★)


",,,
Yanma,#0193,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Kitakami Road, Mossfell Confluence, Oni Mountain, Infernal Pass, Crystal Pool, Wistful Fields, Paradise Barrens, Timeless Woods, Kitakami Wilds Tera Raid Battles (2★)


",,
Wooper,#0194,False,"South Province: Area One, Area Four, Area Five, Area Six, Alfornada Cavern (Paldean Form) East Province: Area Three, Tagtree Thicket (Paldean Form) West Province: Area Three (Paldean Form) North Province: Area One, Glaseado Mountain (Paldean Form) Tera Raid Battles (1★) (Paldean Form) Trade Paldean Wooper in Cascarrafa (Johtonian Form)","South Province: Area One, Area Four, Area Five, Area Six, Alfornada Cavern (Paldean Form) East Province: Area Three, Tagtree Thicket (Paldean Form) West Province: Area Three (Paldean Form) North Province: Area One, Glaseado Mountain (Paldean Form) Tera Raid Battles (1★) (Paldean Form) Trade Paldean Wooper in Cascarrafa (Johtonian Form)","Kitakami Road, Reveler's Road, Mossfell Confluence, Fellhorn Gorge, Oni Mountain, Chilling Waterhead, Kitakami Wilds, Timeless Woods (Johtonian Form) Tera Raid Battles (1★) (Johtonian Form)


",,
Quagsire,#0195,False,Evolve Wooper (Johtonian Form),Evolve Wooper (Johtonian Form),"Mossfell Confluence, Fellhorn Gorge, Oni Mountain, Infernal Pass, Chilling Waterhead, Kitakami Wilds, Timeless Woods Tera Raid Battles (4★, 6★)


",,
Espeon,#0196,False,"West Province: Area Three North Province: Area Three Area Zero East Province: Area Three (Psychic Tera Type) Tera Raid Battles (6★)


","West Province: Area Three North Province: Area Three Area Zero East Province: Area Three (Psychic Tera Type) Tera Raid Battles (6★)


",,,
Umbreon,#0197,False,"South Province: Alfornada Cavern North Province: Area One, Area Two, Area Three, Dalizapa Passage South Province: Alfornada Cavern (Dark Tera Type) Tera Raid Battles (6★)


","South Province: Alfornada Cavern North Province: Area One, Area Two, Area Three, Dalizapa Passage South Province: Alfornada Cavern (Dark Tera Type) Tera Raid Battles (6★)


",,,
Murkrow,#0198,False,"South Province: Area One, Area Two, Area Three, Area Four, Area Five East Province: Area One, Area Two, Area Three, Tagtree Thicket West Province: Area Two, Area Three Tera Raid Battles (2★)


","South Province: Area One, Area Two, Area Three, Area Four, Area Five East Province: Area One, Area Two, Area Three, Tagtree Thicket West Province: Area Two, Area Three Tera Raid Battles (2★)


",,,
Slowking,#0199,False,"Tera Raid Battles (5★, 6★) (Johtonian Form) Trade (Galarian Form)","Tera Raid Battles (5★, 6★) (Johtonian Form) Trade (Galarian Form)","Tera Raid Battles (6★) (Galarian Form)


",,
Misdreavus,#0200,False,Union Circle Tera Raid Battle Search (2★),"South Province: Area One, Area Two, Area Three, Area Four, Area Five, Area Six East Province: Area Two, Tagtree Thicket West Province: Area One North Province: Dalizapa Passage, Glaseado Mountain Tera Raid Battles (2★)


",,,
Unown,#0201,False,"Unobtainable


","Unobtainable


",,,
Wobbuffet,#0202,False,"Unobtainable


","Unobtainable


",,,
Girafarig,#0203,False,"West Province: Area Two, Area Three Area Zero Tera Raid Battles (3★)","West Province: Area Two, Area Three Area Zero Tera Raid Battles (3★)","Savanna Biome


",,
Pineco,#0204,False,"South Province: Area Four East Province: Area One, Area Two, Tagtree Thicket West Province: Area Three Tera Raid Battles (2★)


","South Province: Area Four East Province: Area One, Area Two, Tagtree Thicket West Province: Area Three Tera Raid Battles (2★)


",,,
Forretress,#0205,False,"North Province: Casseroya Lake, Socarrat Trail Tera Raid Battles (4★)


","North Province: Casseroya Lake, Socarrat Trail Tera Raid Battles (4★)


",,,
Dunsparce,#0206,False,"South Province: Area One, Area Three, Area Four, Area Five, Area Six, Alfornada Cavern East Province: Area One, Area Two, Area Three, Tagtree Thicket West Province: Area Two, Area Three, Asado Desert North Province: Dalizapa Passage Area Zero South Province: Area Three (Poison Tera Type) Tera Raid Battles (1★, 3★)","South Province: Area One, Area Three, Area Four, Area Five, Area Six, Alfornada Cavern East Province: Area One, Area Two, Area Three, Tagtree Thicket West Province: Area Two, Area Three, Asado Desert North Province: Dalizapa Passage Area Zero South Province: Area Three (Poison Tera Type) Tera Raid Battles (1★, 3★)","Oni Mountain, Crystal Pool, Chilling Waterhead, Timeless Woods


",,
Gligar,#0207,False,Trade Version 2.0.1+,Trade Version 2.0.1+,,"Fellhorn Gorge, Oni Mountain, Wistful Fields, Paradise Barrens, Kitakami Wilds, Timeless Woods Tera Raid Battles (3★)","Union Circle Tera Raid Battle Search (3★)


"
Steelix,#0208,False,"Unobtainable


","Unobtainable


",,,
Snubbull,#0209,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Chargestone Cavern, Polar Biome Tera Raid Battles (1★)


",,
Granbull,#0210,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Chargestone Cavern, Polar Biome Tera Raid Battles (4★)


",,
Qwilfish,#0211,False,South Province: South Paldean Sea (Johtonian Form) East Province: East Paldean Sea (Johtonian Form) West Province: West Paldean Sea (Johtonian Form) North Province: North Paldean Sea (Johtonian Form) Tera Raid Battles (3★) (Johtonian Form) Trade (Hisuian Form),South Province: South Paldean Sea (Johtonian Form) East Province: East Paldean Sea (Johtonian Form) West Province: West Paldean Sea (Johtonian Form) North Province: North Paldean Sea (Johtonian Form) Tera Raid Battles (3★) (Johtonian Form) Trade (Hisuian Form),"Polar Biome (Hisuian Form)


",,
Scizor,#0212,False,"Tera Raid Battles (5★, 6★)","Tera Raid Battles (5★, 6★)","Savanna Biome, Canyon Biome, Chargestone Cavern


",,
Shuckle,#0213,False,"Unobtainable


","Unobtainable


",,,
Heracross,#0214,False,"North Province: Area Two, Socarrat Trail Tera Raid Battles (4★, 6★)","North Province: Area Two, Socarrat Trail Tera Raid Battles (4★, 6★)","Reveler's Road, Kitakami Hall, Mossfell Confluence, Fellhorn Gorge, Oni Mountain, Kitakami Wilds


",,
Sneasel,#0215,False,"North Province: Dalizapa Passage, Glaseado Mountain (Johtonian Form) North Province: Dalizapa Passage (Fighting Tera Type) (Johtonian Form) Area Zero (Johtonian Form) Tera Raid Battles (3★) (Johtonian Form) Pokémon HOME (Hisuian Form)","North Province: Dalizapa Passage, Glaseado Mountain (Johtonian Form) North Province: Dalizapa Passage (Fighting Tera Type) (Johtonian Form) Area Zero (Johtonian Form) Tera Raid Battles (3★) (Johtonian Form) Pokémon HOME (Hisuian Form)","Oni Mountain, Chilling Waterhead, Timeless Woods (Johtonian Form)


",,
Teddiursa,#0216,False,"East Province: Area One North Province: Area One, Area Two, Glaseado Mountain Tera Raid Battles (2★)


","East Province: Area One North Province: Area One, Area Two, Glaseado Mountain Tera Raid Battles (2★)


",,,
Ursaring,#0217,False,"West Province: Area Three North Province: Area One, Area Two, Dalizapa Passage, Glaseado Mountain North Province: Dalizapa Passage (Flying Tera Type) Tera Raid Battles (4★)


","West Province: Area Three North Province: Area One, Area Two, Dalizapa Passage, Glaseado Mountain North Province: Dalizapa Passage (Flying Tera Type) Tera Raid Battles (4★)


",,,
Slugma,#0218,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Oni Mountain, Infernal Pass, Crystal Pool Tera Raid Battles (2★)


",,
Magcargo,#0219,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Tera Raid Battles (4★)


",,
Swinub,#0220,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Reveler's Road, Kitakami Hall, Mossfell Confluence, Oni Mountain, Oni's  Maw, Chilling Waterhead Tera Raid Battles (2★)


",,
Piloswine,#0221,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Chilling Waterhead Tera Raid Battles (4★)


",,
Corsola,#0222,False,"Unobtainable


","Unobtainable


",,,
Remoraid,#0223,False,"Unobtainable


","Unobtainable


",,,
Octillery,#0224,False,"Unobtainable


","Unobtainable


",,,
Delibird,#0225,False,"North Province: Glaseado Mountain Tera Raid Battles (5★)


","North Province: Glaseado Mountain Tera Raid Battles (5★)


",,,
Mantine,#0226,False,"Unobtainable


","Unobtainable


",,,
Skarmory,#0227,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Canyon Biome Tera Raid Battles (5★, 6★)


",,
Houndour,#0228,False,"South Province: Area Four, Inlet Grotto Tera Raid Battles (2★)","South Province: Area Four, Inlet Grotto Tera Raid Battles (2★)","Fellhorn Gorge, Oni Mountain, Infernal Pass, Crystal Pool, Chilling Waterhead, Wistful Fields, Paradise Barrens, Kitakami Wilds


",,
Houndoom,#0229,False,"South Province: Area Four, Area Six North Province: Area Two Tera Raid Battles (5★)","South Province: Area Four, Area Six North Province: Area Two Tera Raid Battles (5★)","Fellhorn Gorge, Oni Mountain, Infernal Pass, Crystal Pool, Chilling Waterhead, Paradise Barrens, Kitakami Wilds


",,
Kingdra,#0230,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Tera Raid Battles (5★, 6★)


",,
Phanpy,#0231,False,"South Province: Area Four West Province: Area One, Area Two, Asado Desert Tera Raid Battles (2★)


","South Province: Area Four West Province: Area One, Area Two, Asado Desert Tera Raid Battles (2★)


",,,
Donphan,#0232,False,"South Province: Area Four West Province: Area Two, Asado Desert Tera Raid Battles (4★)


","South Province: Area Four West Province: Area Two, Asado Desert Tera Raid Battles (4★)


",,,
Porygon2,#0233,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Tera Raid Battles (5★, 6★)


",,
Stantler,#0234,False,"South Province: Area One, Area Three, Area Five Tera Raid Battles (3★)","South Province: Area One, Area Three, Area Five Tera Raid Battles (3★)","Reveler's Road, Kitakami Hall, Mossfell Confluence, Oni Mountain, Kitakami Wilds, Timeless Woods


",,
Smeargle,#0235,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Savanna Biome, Coastal Biome, Torchlit Labyrinth, Canyon Biome, Chargestone Cavern, Polar Biome


",,
Tyrogue,#0236,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Canyon Biome, Chargestone Cavern Tera Raid Battles (1★)


",,
Hitmontop,#0237,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Canyon Biome Tera Raid Battles (5★)


",,
Smoochum,#0238,False,"Unobtainable


","Unobtainable


",,,
Elekid,#0239,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Savanna Biome, Canyon Biome, Polar Biome, Chargestone Cavern Tera Raid Battles (2★)


",,
Magby,#0240,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Savanna Biome, Coastal Biome, Torchlit Labyrinth Tera Raid Battles (2★)


",,
Miltank,#0241,False,"Unobtainable


","Unobtainable


",,,
Blissey,#0242,False,"North Province: Area One, Area Two, Area Three Tera Raid Battles (5★, 6★)","North Province: Area One, Area Two, Area Three Tera Raid Battles (5★, 6★)","Savanna Biome, Coastal Biome, Torchlit Labyrinth


",,
Raikou,#0243,False,Trade Version 3.0.0+,Trade Version 3.0.0+,,West Province: Area One after receiving the Raikou Treat from Snacksworth (Only one) (Solo Quest),"West Province: Area One after receiving the Raikou Treat from Snacksworth (Only one) (Group Quest)


"
Entei,#0244,False,Trade Version 3.0.0+,Trade Version 3.0.0+,,East Province: Area Three after receiving the Entei Treat from Snacksworth (Only one) (Solo Quest),"East Province: Area Three after receiving the Entei Treat from Snacksworth (Only one) (Group Quest)


"
Suicune,#0245,False,Trade Version 3.0.0+,Trade Version 3.0.0+,,Casseroya Lake after receiving the Suicune Treat from Snacksworth (Only one) (Solo Quest),"Casseroya Lake after receiving the Suicune Treat from Snacksworth (Only one) (Group Quest)


"
Larvitar,#0246,False,"South Province: Area Five, Alfornada Cavern East Province: Area Three West Province: Area One, Asado Desert North Province: Dalizapa Passage Tera Raid Battles (3★)","Union Circle Tera Raid Battle Search (3★)


",,,
Pupitar,#0247,False,South Province: Alfornada Cavern North Province: Area Two Tera Raid Battles (4★),"Union Circle Tera Raid Battle Search (4★)


",,,
Tyranitar,#0248,False,"Tera Raid Battles (5★, 6★)","Tera Raid Battle Search (5★, 6★)


",,,
Lugia,#0249,False,Trade Version 3.0.0+,Trade Version 3.0.0+,,North Paldean Sea after receiving the Lugia Treat from Snacksworth (Only one) (Group Quest),"North Paldean Sea after receiving the Lugia Treat from Snacksworth (Only one) (Solo Quest)


"
Ho-Oh,#0250,False,Trade Version 3.0.0+,Trade Version 3.0.0+,,South Province: Area Four after receiving the Ho- Oh Treat from Snacksworth (Only one) (Solo Quest),"South Province: Area Four after receiving the Ho- Oh Treat from Snacksworth (Only one) (Group Quest)


"
Celebi,#0251,False,"Unobtainable


","Unobtainable


",,,
Treecko,#0252,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Canyon Biome (after boosting biodiversity in the Canyon Biome)


",,
Grovyle,#0253,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Evolve Treecko


",,
Sceptile,#0254,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Evolve Grovyle


",,
Torchic,#0255,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Polar Biome (after boosting biodiversity in the Polar Biome)


",,
Combusken,#0256,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Evolve Torchic


",,
Blaziken,#0257,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Evolve Combusken


",,
Mudkip,#0258,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Torchlit Labyrinth (after boosting biodiversity in the Coastal Biome)


",,
Marshtomp,#0259,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Evolve Mudkip


",,
Swampert,#0260,False,Trade Version 3.0.0+,Trade Version 3.0.0+,"Evolve Marshtomp


",,
Poochyena,#0261,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Kitakami Road, Apple Hills, Loyalty Plaza, Oni Mountain, Paradise Barrens, Kitakami Wilds, Timeless Woods Tera Raid Battles (1★)


",,
Mightyena,#0262,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Oni Mountain, Wistful Fields, Paradise Barrens, Kitakami Wilds, Timeless Woods Tera Raid Battles (4★)


",,
Zigzagoon,#0263,False,"Unobtainable


","Unobtainable


",,,
Linoone,#0264,False,"Unobtainable


","Unobtainable


",,,
Wurmple,#0265,False,"Unobtainable


","Unobtainable


",,,
Silcoon,#0266,False,"Unobtainable


","Unobtainable


",,,
Beautifly,#0267,False,"Unobtainable


","Unobtainable


",,,
Cascoon,#0268,False,"Unobtainable


","Unobtainable


",,,
Dustox,#0269,False,"Unobtainable


","Unobtainable


",,,
Lotad,#0270,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Apple Hills, Reveler's Road, Oni Mountain, Infernal Pass, Wistful Fields, Paradise Barrens, Kitakami Wilds, Timeless Woods Tera Raid Battles (2★)


",,
Lombre,#0271,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Apple Hills, Mossfell Confluence, Oni Mountain, Wistful Fields, Paradise Barrens, Kitakami Wilds, Timeless Woods Tera Raid Battles (3★)


",,
Ludicolo,#0272,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Tera Raid Battles (5★, 6★)


",,
Seedot,#0273,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Reveler's Road, Kitakami Hall, Mossfell Confluence, Fellhorn Gorge, Oni Mountain, Paradise Barrens, Kitakami Wilds, Timeless Woods Tera Raid Battles (2★)


",,
Nuzleaf,#0274,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Reveler's Road, Mossfell Confluence, Fellhorn Gorge, Oni Mountain, Paradise Barrens, Kitakami Wilds, Timeless Woods Tera Raid Battles (3★)


",,
Shiftry,#0275,False,Trade Version 2.0.1+,Trade Version 2.0.1+,"Tera Raid Battles (5★, 6★)


",,
Taillow,#0276,False,"Unobtainable


","Unobtainable


",,,
Swellow,#0277,False,"Unobtainable


","Unobtainable


",,,
Wingull,#0278,False,"South Province: Poco Path, South Paldean Sea West Province: West Paldean Sea Tera Raid Battles (1★)


","South Province: Poco Path, South Paldean Sea West Province: West Paldean Sea Tera Raid Battles (1★)


",,,
Pelipper,#0279,False,"West Province: West Paldean Sea North Province: North Paldean Sea Tera Raid Battles (3★, 6★)


","West Province: West Paldean Sea North Province: North Paldean Sea Tera Raid Battles (3★, 6★)


",,,
Ralts,#0280,False,"South Province: Area One, Los Platos Tera Raid Battles (1★)","South Province: Area One, Los Platos Tera Raid Battles (1★)","Reveler's Road, Kitakami Hall, Mossfell Confluence, Oni Mountain, Wistful Fields, Paradise Barrens, Kitakami Wilds, Timeless Woods


",,
Kirlia,#0281,False,"South Province: Cortondo East Province: Area Two, Levincia West Province: Porto Marinada North Province: Dalizapa Passage, Montenevera East Province: Area Three (Fire Tera Type) Tera Raid Battles (3★)","South Province: Cortondo East Province: Area Two, Levincia West Province: Porto Marinada North Province: Dalizapa Passage, Montenevera East Province: Area Three (Fire Tera Type) Tera Raid Battles (3★)","Oni Mountain, Wistful Fields, Paradise Barrens, Kitakami Wilds, Timeless Woods


",,
Gardevoir,#0282,False,"North Province: Glaseado Mountain Tera Raid Battles (5★, 6★)","North Province: Glaseado Mountain Tera Raid Battles (5★, 6★)","Kitakami Wilds, Timeless Woods


",,
Surskit,#0283,False,"South Province: Area One, Area Five South Province (Area Two) Version 3.0.0+ Tera Raid Battles (1★)","South Province: Area One, Area Five South Province (Area Two) Version 3.0.0+ Tera Raid Battles (1★)","Mossfell Confluence, Oni Mountain, Paradise Barrens, Kitakami Wilds, Timeless Woods


",,
Masquerain,#0284,False,"South Province: Area One, Area Five Area Zero Tera Raid Battles (4★)","South Province: Area One, Area Five Area Zero Tera Raid Battles (4★)","Mossfell Confluence, Kitakami Wilds


",,
Shroomish,#0285,False,"South Province: Area Five West Province: Area Three Tera Raid Battles (1★)


","South Province: Area Five West Province: Area Three Tera Raid Battles (1★)


",,,
Breloom,#0286,False,"West Province: Area Three West Province: Area Three (Rock Tera Type) Tera Raid Battles (5★, 6★)


","West Province: Area Three West Province: Area Three (Rock Tera Type) Tera Raid Battles (5★, 6★)


",,,
Slakoth,#0287,False,"South Province: Area One, Area Three, Area Five Tera Raid Battles (2★)","South Province: Area One, Area Three, Area Five Tera Raid Battles (2★)","Coastal Biome, Torchlit Labyrinth


",,
Vigoroth,#0288,False,"South Province: Area One, Area Three, Area Five West Province: Area Three North Province: Area One, Dalizapa Passage Tera Raid Battles (4★)","South Province: Area One, Area Three, Area Five West Province: Area Three North Province: Area One, Dalizapa Passage Tera Raid Battles (4★)","Coastal Biome


",,
Slaking,#0289,False,"North Province: Area Two, Socarrat Trail North Province: Area Two (Ghost Tera Type) Tera Raid Battles (5★)","North Province: Area Two, Socarrat Trail North Province: Area Two (Ghost Tera Type) Tera Raid Battles (5★)","Coastal Biome


",,
Nincada,#0290,False,"Unobtainable


","Unobtainable


",,,
Ninjask,#0291,False,"Unobtainable


","Unobtainable


",,,
Shedinja,#0292,False,"Unobtainable


","Unobtainable


",,,
Whismur,#0293,False,"Unobtainable


","Unobtainable


",,,
Loudred,#0294,False,"Unobtainable


","Unobtainable


",,,
Exploud,#0295,False,"Unobtainable


","Unobtainable


",,,
